開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2020-04-20,2020-05-11,放送,TOKYO MX,,月曜 21:54 - 22:00,2020年4月20日 - 5月11日（第1話 - 第4話）2020年6月22日 - 11月2日（第5話 - 第24話）,リピート放送あり
2020-04-20,,配信,,Amazonプライム・ビデオ,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,dアニメストア,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,dTV,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,FOD,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,U-NEXT,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,あにてれ,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,アニメ放題,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,バンダイチャンネル,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,GYAO!,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,Rakuten TV,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,ニコニコチャンネル,月曜 22:00 更新,2020年4月20日,
2020-04-20,,配信,,ビデオマーケット,月曜 22:00 更新,2020年4月20日,
2020-04-21,,配信,,ひかりTV,火曜 0:00 更新,2020年4月21日,
2020-04-21,,配信,,VIDEX,火曜 10:00 更新,2020年4月21日,
2020-04-21,,配信,,TSUTAYA TV,原則火曜 19:00 更新,2020年4月21日,複数話連結して配信
2020-04-22,,配信,,J:COMオンデマンド,水曜 0:00 更新,2020年4月22日,
2020-04-22,,配信,,milplus,水曜 0:00 更新,2020年4月22日,
2020-04-22,,配信,,TELASA,水曜 0:00 更新,2020年4月22日,
2020-04-23,,配信,,ふらっと動画,木曜 22:00 更新,2020年4月23日,
2020-04-23,,配信,,ゲオTV,木曜 22:00 更新,2020年4月23日,
2020-04-24,,配信,,HAPPY!動画,金曜 12:00 更新,2020年4月24日,
