開始,終了,タイプ,放送局,配信サイト,時間,期間
2021-07-01,2021-12-23,放送,TOKYO MX,,木曜 22:30 - 23:00,2021年7月1日 - 12月23日
2021-07-01,2021-12-23,放送,BS11,,木曜 22:30 - 23:00,2021年7月1日 - 12月23日
2021-07-01,2021-12-23,放送,AT-X,,木曜 23:00 - 23:30,2021年7月1日 - 12月23日
2021-07-02,2021-12-24,放送,サンテレビ,,金曜 0:00 - 0:30（木曜深夜）,2021年7月2日 - 12月24日
2021-10-05,,放送,RSK山陽放送,,火曜 1:52 - 2:22（月曜深夜）,2021年10月5日 -
2021-10-06,,放送,静岡放送,,水曜 2:10 - 2:40（火曜深夜）,2021年10月6日 -
2021-10-07,,放送,岐阜放送,,木曜 0:30 - 1:00（水曜深夜）,2021年10月7日 -
2021-10-11,,放送,テレビ愛知,,月曜 1:05 - 1:35（日曜深夜）,2021年10月11日 -
2021-10-29,,放送,南海放送,,金曜 2:04 - 2:34（木曜深夜）,2021年10月29日 -
2021-07-01,,配信,,バンダイチャンネル,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,dアニメストア,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,Amazon Prime Video,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,U-NEXT,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,GYAO!,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,アニメ放題,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,Hulu,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,ひかりTV,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,FOD,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,GYAO!,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,GYAO!ストア,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,Rakuten TV,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,DMM.com,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,Google Play,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,ビデオマーケット,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,ニコニコチャンネル,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,music.jp,木曜 22:30 更新,2021年7月1日
2021-07-01,,配信,,dTV,未定,2021年7月1日以降
2021-07-02,,配信,,TELASA,金曜 0:00（木曜深夜） 更新,2021年7月2日
2021-07-02,,配信,,auスマートパスプレミアム,金曜 0:00（木曜深夜） 更新,2021年7月2日
2021-07-02,,配信,,J:COMオンデマンド,金曜 0:00（木曜深夜） 更新,2021年7月2日
2021-07-02,,配信,,milplus,金曜 0:00（木曜深夜） 更新,2021年7月2日
2021-07-02,,配信,,HAPPY!動画,金曜 12:00 更新,2021年7月2日
2021-07-02,,配信,,TSUTAYA TV,金曜 19:00 更新,2021年7月2日
2021-07-15,,配信,,ふらっと動画,木曜 12:00 更新,2021年7月15日
