開始,終了,タイプ,放送局,配信サイト,時間,期間
2022-01-08,2022-03-26,放送,TOKYO MX,,土曜 22:00 - 22:30,2022年1月8日 - 3月26日
2022-01-08,2022-03-26,放送,BS11,,土曜 22:00 - 22:30,2022年1月8日 - 3月26日
2022-01-08,2022-03-26,放送,サンテレビ,,土曜 22:30 - 23:00,2022年1月8日 - 3月26日
2022-01-11,2022-03-29,放送,AT-X,,火曜 23:00 - 23:30,2022年1月11日 - 3月29日
2022-01-08,,配信,,ABEMA,土曜 22:00 - 22:30,2022年1月8日
2022-01-13,,配信,,dアニメストア,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,Netflix,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,Amazon Prime Video,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,アニメカ,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,U-NEXT,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,アニメ放題,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,GYAO!,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,FOD,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,バンダイチャンネル,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,hulu,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,TELASA,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,J:COMオンデマンド,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,milplus,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,auスマートパスプレミアム,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,Google Play,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,ひかりTV,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,niconico,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,ビデオマーケット,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,マンガUP!,木曜 0:00 以降順次更新,2022年1月13日以降順次
2022-01-13,,配信,,ニコニコ生放送,木曜 0:30 - 1:00（水曜深夜）,2022年1月13日
