開始,終了,タイプ,放送局,配信サイト,時間,期間
2015-04-04,2015-06-27,放送,TOKYO MX,,土曜 1:05 - 1:35（金曜深夜）,2015年4月4日 - 6月27日
2015-04-05,2015-06-28,放送,KBS京都,,日曜 0:30 - 1:00（土曜深夜）,2015年4月5日 - 6月28日
2015-04-05,2015-06-28,放送,テレビ愛知,,日曜 2:20 - 2:50（土曜深夜）,2015年4月5日 - 6月28日
2015-04-05,2015-06-28,放送,AT-X,,日曜 18:00 - 18:30,2015年4月5日 - 6月28日
2015-04-06,2015-06-29,放送,BS11,,月曜 0:00 - 0:30（日曜深夜）,2015年4月6日 - 6月29日
2015-04-06,2015-06-29,放送,サンテレビ,,月曜 1:00 - 1:30（日曜深夜）,2015年4月6日 - 6月29日
2015-04-05,,配信,,dアニメストア,日曜 12:00 更新,2015年4月5日
2015-04-05,,配信,,ニコニコチャンネル,日曜 12:00 更新,2015年4月5日
2015-04-05,,配信,,アニメ放題[36],日曜 12:00 更新,2015年4月5日
2015-04-05,,配信,,ニコニコ生放送,日曜 23:30 - 月曜 0:00,2015年4月5日
2015-04-11,,配信,,バンダイチャンネル,土曜 12:00 更新,2015年4月11日
2015-04-11,,配信,,GYAO!,土曜 12:00 更新,2015年4月11日
2015-04-11,,配信,,ビデオマーケット,土曜 12:00 更新,2015年4月11日
2019-07-13,2019-09-28,放送,TOKYO MX,,土曜 0:30 - 1:00（金曜深夜）,2019年7月13日 - 9月28日
2019-07-13,2019-09-28,放送,KBS京都,,土曜 0:30 - 1:00（金曜深夜）,2019年7月13日 - 9月28日
2019-07-13,2019-09-28,放送,サンテレビ,,土曜 0:30 - 1:00（金曜深夜）,2019年7月13日 - 9月28日
2019-07-13,2019-09-28,放送,BS11,,土曜 0:30 - 1:00（金曜深夜）,2019年7月13日 - 9月28日
2019-07-13,2019-09-28,放送,AT-X,,土曜 0:30 - 1:00（金曜深夜）,2019年7月13日 - 9月28日
2019-07-13,,配信,,U-NEXT,土曜 0:30 更新,2019年7月13日
2019-07-13,,配信,,アニメ放題,土曜 0:30 更新,2019年7月13日
2019-07-15,,配信,,dアニメストア,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,Netflix,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,AbemaTV,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,Amazon Prime Video,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,GYAO!,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,バンダイチャンネル,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,Hulu,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,FOD,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,ビデオパス,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,J:COMオンデマンド,月曜 0:00 更新,2019年7月15日
2019-07-15,,配信,,ニコニコ生放送,月曜 0:00 - 0:30,2019年7月15日
2019-07-18,,配信,,ビデオマーケット,木曜 0:00 更新,2019年7月18日
2019-07-18,,配信,,dTV,木曜 0:00 更新,2019年7月18日
2020-10-03,2020-12-19,放送,TOKYO MX,,土曜 0:30 - 1:00（金曜深夜）,2020年10月3日 - 12月19日
2020-10-03,2020-12-19,放送,KBS京都,,土曜 0:30 - 1:00（金曜深夜）,2020年10月3日 - 12月19日
2020-10-03,2020-12-19,放送,サンテレビ,,土曜 0:30 - 1:00（金曜深夜）,2020年10月3日 - 12月19日
2020-10-03,2020-12-19,放送,BS11,,土曜 0:30 - 1:00（金曜深夜）,2020年10月3日 - 12月19日
2020-10-03,2020-12-19,放送,AT-X,,土曜 23:30 - 日曜 0:00,2020年10月3日 - 12月19日
2020-10-03,,配信,,ABEMA,土曜 0:30 - 1:00（金曜深夜）,2020年10月3日
2020-10-05,,配信,,dアニメストア,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,Netflix,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,Amazon Prime Video,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,U-NEXT,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,アニメ放題,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,GYAO!,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,バンダイチャンネル,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,ひかりTV,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,FOD,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,ニコニコチャンネル,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,ビデオマーケット,月曜 0:00（土曜深夜） 更新,2020年10月5日
2020-10-05,,配信,,dTV,月曜 0:00（土曜深夜） 更新,2020年10月5日
