開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2018-10-22,2019-01-21,配信,,,月曜 0:10 - 0:35（日曜深夜）,2018年10月22日 - 2019年1月21日[注釈 1],日本全域（近畿広域圏を除く）,
2018-10-22,2019-01-21,配信,,,月曜 0:50 - 1:15（日曜深夜）,2018年10月22日 - 2019年1月21日[注釈 1],近畿広域圏[注釈 2],
2018-10-30,,配信,,dアニメストア,火曜 0:00（月曜深夜） 更新,2018年10月30日,,
2018-10-31,,配信,,U-NEXT,水曜 12:00 更新,2018年10月31日,,
2018-10-31,,配信,,アニメ放題,水曜 12:00 更新,2018年10月31日,,
2018-11-21,,配信,,バンダイチャンネル,水曜 12:00 更新,2018年11月21日,,
2023-01-05,2023-03-30,放送,TOKYO MX,,木曜 0:00 - 0:30（水曜深夜）,2023年1月5日 - 3月30日,東京都,
2023-01-05,2023-03-30,放送,朝日放送テレビ,,木曜 2:14 - 2:44（水曜深夜）,2023年1月5日 - 3月30日,近畿広域圏,『水曜アニメ〈水もん〉』第1部
2023-01-06,2023-03-31,放送,BS11,,金曜 0:00 - 0:30（木曜深夜）,2023年1月6日 - 3月31日,日本全域,BS放送 / 『ANIME+』枠
2023-01-06,2023-03-31,放送,AT-X,,金曜 22:00 - 22:30,2023年1月6日 - 3月31日,日本全域,CS放送 / 字幕放送[26] / リピート放送あり
