開始,終了,タイプ,放送局,配信サイト,時間
2022-10-02,2023-03-26,放送,テレビ大阪（製作局）、テレビ東京（製作参加）をはじめとするテレビ東京系列全6局,,日曜 9:45 - 10:00
2022-10-02,,配信,,TVer,日曜 10:00更新
2022-10-02,,配信,,YouTube タカラトミーチャンネル,日曜 10:00更新
2022-10-02,,配信,,ネットもテレ東,日曜 10:00更新
2022-10-02,,配信,,ABEMAプレミアム,日曜 10:00更新
2022-10-02,,配信,,Amazon Prime Video,日曜 10:00更新
2022-10-02,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,日曜 10:00更新
2022-10-02,,配信,,DMM.com,日曜 10:00更新
2022-10-02,,配信,,FOD,日曜 10:00更新
2022-10-02,,配信,,GYAO!,日曜 10:00更新
2022-10-02,,配信,,GYAO!ストア,日曜 10:00更新
2022-10-02,,配信,,HAPPY!動画,日曜 10:00更新
2022-10-02,,配信,,Hulu,日曜 10:00更新
2022-10-02,,配信,,music.jp,日曜 10:00更新
2022-10-02,,配信,,Rakuten TV,日曜 10:00更新
2022-10-02,,配信,,TELASA,日曜 10:00更新
2022-10-02,,配信,,U-NEXT,日曜 10:00更新
2022-10-02,,配信,,VIDEX,日曜 10:00更新
2022-10-02,,配信,,アニメカ,日曜 10:00更新
2022-10-02,,配信,,アニメ放題,日曜 10:00更新
2022-10-02,,配信,,ビデオマーケット,日曜 10:00更新
2022-10-03,,配信,,ABEMA,月曜 3:45 - 4:00
2022-10-04,,配信,,J:COMオンデマンド,火曜 0:00（月曜深夜）更新
2022-10-04,,配信,,Milplus,火曜 0:00（月曜深夜）更新
