開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2019-01-11,2019-03-29,放送,フジテレビ,,金曜 0:55 - 1:25（木曜深夜）,2019年1月11日 - 3月29日,関東広域圏,製作参加
2019-01-11,2019-03-29,放送,岩手めんこいテレビ,,金曜 0:55 - 1:25（木曜深夜）,2019年1月11日 - 3月29日,岩手県,
2019-01-11,2019-03-29,放送,さくらんぼテレビ,,金曜 0:55 - 1:25（木曜深夜）,2019年1月11日 - 3月29日,山形県,
2019-01-11,2019-03-29,放送,秋田テレビ,,金曜 1:20 - 1:50（木曜深夜）,2019年1月11日 - 3月29日,秋田県,
2019-01-11,2019-03-29,放送,福島テレビ,,金曜 1:25 - 1:55（木曜深夜）,2019年1月11日 - 3月29日,福島県,
2019-01-11,2019-03-29,放送,長野放送,,金曜 1:30 - 2:00（木曜深夜）,2019年1月11日 - 3月29日,長野県,
2019-01-11,2019-03-29,放送,テレビ静岡,,金曜 1:35 - 2:05（木曜深夜）,2019年1月11日 - 3月29日,静岡県,
2019-01-11,2019-03-29,放送,テレビ愛媛,,金曜 1:35 - 2:05（木曜深夜）,2019年1月11日 - 3月29日,愛媛県,
2019-01-11,2019-03-29,放送,新潟総合テレビ,,金曜 1:45 - 2:15（木曜深夜）,2019年1月11日 - 3月29日,新潟県,
2019-01-11,2019-03-29,放送,テレビ熊本,,金曜 1:45 - 2:15（木曜深夜）,2019年1月11日 - 3月29日,熊本県,
2019-01-11,2019-03-29,放送,関西テレビ,,金曜 1:55 - 2:25（木曜深夜）,2019年1月11日 - 3月29日,近畿広域圏,
2019-01-11,2019-03-29,放送,テレビ新広島,,金曜 1:55 - 2:25（木曜深夜）,2019年1月11日 - 3月29日,広島県,
2019-01-11,2019-03-29,放送,テレビ西日本,,金曜 1:55 - 2:25（木曜深夜）,2019年1月11日 - 3月29日,福岡県,
2019-01-11,2019-03-29,放送,仙台放送,,金曜 2:00 - 2:30（木曜深夜）,2019年1月11日 - 3月29日,宮城県,
2019-01-11,2019-03-29,放送,鹿児島テレビ,,金曜 2:00 - 2:30（木曜深夜）,2019年1月11日 - 3月29日,鹿児島県,
2019-01-11,2019-03-29,放送,東海テレビ,,金曜 2:10 - 2:40（木曜深夜）,2019年1月11日 - 3月29日,中京広域圏,
2019-01-12,2019-03-30,放送,サガテレビ,,土曜 0:55 - 1:25（金曜深夜）,2019年1月12日 - 3月30日,佐賀県,
2019-01-16,2019-04-03,放送,BSフジ,,水曜 0:00 - 0:30（火曜深夜）,2019年1月16日 - 4月3日,日本全域,BS/BS4K放送 / 『アニメギルド』枠
2019-01-24,2019-04-11,放送,高知さんさんテレビ,,木曜 1:55 - 2:25（水曜深夜）,2019年1月24日 - 4月11日,高知県,
2019-02-05,2019-04-23,放送,山陰中央テレビ,,月曜 1:25 - 1:55（月曜深夜）,2019年2月5日 - 4月23日,鳥取県・島根県,
