開始,終了,タイプ,放送局,配信サイト,時間,期間
2021-01-08,2021-03-26,放送,フジテレビ,,金曜 0:55 - 1:25（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,岩手めんこいテレビ,,金曜 0:55 - 1:25（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,さくらんぼテレビ,,金曜 0:55 - 1:25（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,福島テレビ,,金曜 0:55 - 1:25（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,サガテレビ,,金曜 0:55 - 1:25（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,テレビ愛媛,,金曜 1:15 - 1:45（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,秋田テレビ,,金曜 1:20 - 1:50（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,長野放送,,金曜 1:30 - 2:00（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,テレビ静岡,,金曜 1:30 - 2:00（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,NST新潟総合テレビ,,金曜 1:45 - 2:15（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,テレビ熊本,,金曜 1:45 - 2:15（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,仙台放送,,金曜 1:55 - 2:25（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,テレビ西日本,,金曜 1:55 - 2:25（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,テレビ新広島,,金曜 2:00 - 2:30（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,鹿児島テレビ,,金曜 2:00 - 2:30（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,関西テレビ,,金曜 2:25 - 2:55（木曜深夜）,2021年1月8日 - 3月26日
2021-01-08,2021-03-26,放送,東海テレビ,,金曜 2:17 - 2:47（木曜深夜）,2021年1月8日 - 3月26日
2021-01-10,2021-03-28,放送,福井テレビ,,日曜 9:30 - 10:00,2021年1月10日 - 3月28日
2021-01-23,,放送,アニマックス,,土曜 21:30 - 22:00,2021年1月23日 -
2021-01-08,,配信,,FOD,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,dアニメストア,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,U-NEXT,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,アニメ放題,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,dTV,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,ひかりTV,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,Amazonプライム・ビデオ,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,ビデオマーケット,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,music.jp,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,DMM.com,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,GYAO!ストア,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,COCORO VIDEO,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,Rakuten TV,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,ムービーフルPlus,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,HAPPY!動画,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,Google Play,金曜 12:00 更新,2021年1月8日
2021-01-08,,配信,,Netflix,金曜 更新,2021年1月8日
2021-01-10,,配信,,J:COMオンデマンド,日曜 0:00（土曜深夜） 更新,2021年1月10日
2021-01-10,,配信,,みるプラス,日曜 0:00（土曜深夜） 更新,2021年1月10日
2021-01-10,,配信,,TELASA,日曜 0:00（土曜深夜） 更新,2021年1月10日
2021-01-11,,配信,,TSUTAYA TV,月曜 0:00（日曜深夜） 更新,2021年1月11日
2021-01-15,,配信,,バンダイチャンネル,金曜 12:00 更新,2021年1月15日
2021-01-24,,配信,,アニマックスプレミアムVOD,日曜 0:00（土曜深夜） 更新,2021年1月24日
