開始,終了,タイプ,放送局,配信サイト,時間
2022-10-08,2022-12-24,放送,毎日放送（製作参加）をはじめとするTBS系列全28局,,土曜 1:25 - 1:55（金曜深夜）
2022-10-08,,配信,,ABEMA,土曜 12:00 更新
2022-10-11,,配信,,dアニメストア,火曜 12:00 更新
2022-10-11,,配信,,U-NEXT,火曜 12:00 更新
2022-10-11,,配信,,FOD,火曜 12:00 更新
2022-10-11,,配信,,Hulu,火曜 12:00 更新
2022-10-11,,配信,,アニメ放題,火曜 12:00 更新
2022-10-11,,配信,,Google Play,火曜 12:00 更新
2022-10-11,,配信,,Rakuten TV,火曜 12:00 更新
2022-10-11,,配信,,Amazon Prime Video,火曜 12:00 更新
2022-10-11,,配信,,ビデオマーケット,火曜 12:00 更新
2022-10-11,,配信,,music.jp,火曜 12:00 更新
2022-10-11,,配信,,GYAO!ストア,火曜 12:00 更新
2022-10-11,,配信,,クランクイン！ビデオ,火曜 12:00 更新
2022-10-11,,配信,,バンダイチャンネル,火曜 12:00 更新
2022-10-12,,配信,,J:COMオンデマンド,水曜 0:00（火曜深夜） 更新
2022-10-12,,配信,,milplus,水曜 0:00（火曜深夜） 更新
2022-10-12,,配信,,イッツコムオンデマンド,水曜 0:00（火曜深夜） 更新
2022-10-12,,配信,,TELASA,水曜 0:00（火曜深夜） 更新
