開始,終了,タイプ,放送局,配信サイト,時間
2022-04-24,2022-10-02,放送,テレビ朝日（製作参加）ほか系列全24局,,日曜 1:30 - 2:00（土曜深夜）
2022-04-24,2022-10-02,放送,テレ朝チャンネル1,,日曜 2:30 - 3:00（土曜深夜）
2022-04-24,,配信,,ニコニコチャンネル[52],日曜 1:30（土曜深夜） 更新
2022-04-24,,配信,,ABEMA[53],日曜 1:30 - 2:00（土曜深夜）
2022-04-24,,配信,,ニコニコ生放送[52],日曜 22:00 - 22:30
2022-04-24,,配信,,dアニメストア,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,ABEMAビデオ,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,GYAO!,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,ひかりTV,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,FOD,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,バンダイチャンネル,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,Hulu,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,TELASA,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,J:COMオンデマンド,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,みるプラス見放題プレミアム,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,Netflix,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,U-NEXT,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,アニメ放題,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,Amazon Prime Video,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,WOWOWオンデマンド,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,Disney+,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,Rakuten TV,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,DMM.com,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,music.jp,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,ビデオマーケット,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,ムービーフルPlus,日曜 1:30（土曜深夜） 以降順次更新
2022-04-24,,配信,,HAPPY!動画,日曜 1:30（土曜深夜） 以降順次更新
