開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2020-07-11,2020-09-26,放送,TOKYO MX,,土曜 1:35 - 1:50（金曜深夜）,2020年7月11日 - 9月26日,東京都,
2020-07-12,2020-09-27,放送,AT-X,,日曜 0:30 - 0:45（土曜深夜）,2020年7月12日 - 9月27日,日本全国,超賢者ver.[17] / CS放送 / R15+指定 / リピート放送あり
2020-07-14,2020-09-29,放送,とちぎテレビ,,火曜 0:30 - 0:45（月曜深夜）,2020年7月14日 - 9月29日,栃木県,
2020-07-11,,配信,,dアニメストア,土曜 1:35（金曜深夜） 更新,2020年7月11日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,J:COMオンデマンド,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,みるプラス,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,TELASA,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,Amazon Prime Video,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,U-NEXT,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,AbemaTV,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,ひかりTV,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,ニコニコ生放送,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,ニコニコチャンネル,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,ビデオマーケット,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,DMM.com,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,バンダイチャンネル,木曜 0:00（水曜深夜） 更新,2020年7月16日,,6日遅れで大賢者ver.を配信
2020-07-16,,配信,,auスマートパスプレミアム,木曜 0:00（水曜深夜） 更新,2020年7月16日,,通常ver.のみ配信
2020-07-16,,配信,,FOD,木曜 0:00（水曜深夜） 更新,2020年7月16日,,通常ver.のみ配信
2020-07-16,,配信,,GYAO!ストア,木曜 0:00（水曜深夜） 更新,2020年7月16日,,通常ver.のみ配信
2020-07-16,,配信,,Rakuten TV,木曜 0:00（水曜深夜） 更新,2020年7月16日,,通常ver.のみ配信
2020-07-16,,配信,,Google Play,木曜 0:00（水曜深夜） 更新,2020年7月16日,,通常ver.のみ配信
2020-07-16,,配信,,クランクイン!ビデオ,木曜 0:00（水曜深夜） 更新,2020年7月16日,,通常ver.のみ配信
2020-07-16,,配信,,HAPPY!動画,木曜 0:00（水曜深夜） 更新,2020年7月16日,,通常ver.のみ配信
2020-07-16,,配信,,TSUTAYA TV,木曜 0:00（水曜深夜） 更新,2020年7月16日,,大賢者ver.のみ配信
2022-10-10,2022-12-26,放送,TOKYO MX,,月曜 1:15 - 1:30（日曜深夜）,2022年10月10日 - 12月26日,東京都,
2022-10-11,2022-12-27,放送,AT-X,,火曜 23:15 - 23:30,2022年10月11日 - 12月27日,日本全国,超賢者ver. / CS放送 / R15+指定 / リピート放送あり
2022-10-12,2022-12-28,放送,BSフジ,,水曜 0:45 - 1:00（火曜深夜）,2022年10月12日 - 12月28日,日本全国,製作参加 / BS/BS4K放送 / 『アニメギルド』枠
