開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2021-01-10,2021-03-28,放送,TOKYO MX,,日曜 23:30 - 月曜 0:00,2021年1月10日 - 3月28日,
2021-01-10,2021-03-28,放送,KBS京都,,日曜 23:30 - 月曜 0:00,2021年1月10日 - 3月28日,
2021-01-10,2021-03-28,放送,BS日テレ,,日曜 23:30 - 月曜 0:00,2021年1月10日 - 3月28日,BS/BS4K放送 / 『アニメにむちゅ〜』枠
2021-01-10,2021-03-28,放送,アニマックス,,日曜 23:30 - 月曜 0:00,2021年1月10日 - 3月28日,製作参加 / BS/CS放送
2021-01-10,,配信,,ABEMA,日曜 23:00 - 23:30,2021年1月10日,地上波先行・Web最速配信
2021-01-10,,配信,,ABEMAプレミアム,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,Netflix,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,Amazon Prime Video,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,U-NEXT,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,FOD,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,バンダイチャンネル,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,ひかりTV,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,アニメ放題,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,J:COMオンデマンド,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,TELASA,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,みるプラス,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,auスマートパスプレミアム,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,ニコニコチャンネル,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,あにてれ,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,GYAO!,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,ビデオマーケット,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,DMM.com,日曜 23:30 更新,2021年1月10日,
2021-01-10,,配信,,music.jp,日曜 23:30 更新,2021年1月10日,
2021-01-11,,配信,,ニコニコ生放送,月曜 22:30 - 23:00,2021年1月11日,
