開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2023-01-07,2023-03-25,放送,TOKYO MX,,土曜 1:35 - 1:50（金曜深夜）,2023年1月7日 - 3月25日,
2023-01-10,2023-03-28,放送,BS11,,火曜 1:30 - 1:45（月曜深夜）,2023年1月10日 - 3月28日,BS放送 / 『ANIME+』枠
2023-01-13,2023-03-31,放送,AT-X,,金曜 22:45 - 23:00,2023年1月13日 - 3月31日,ワンダフルver.[19] / CS放送 / 字幕放送[23] / リピート放送あり
2023-01-06,,配信,,ABEMA,金曜 0:00 更新（木曜深夜）,2023年1月6日,5日遅れでワンダフルver.を配信
2023-01-06,,配信,,dアニメストア,金曜 0:00 更新（木曜深夜）,2023年1月6日,5日遅れでワンダフルver.を配信
2023-01-12,,配信,,AnimeFesta,木曜 0:00 更新（水曜深夜）,2023年1月12日,ワンダフルver.を配信7日遅れで完全ワンダフルver.を配信（EST販売）
2023-01-13,,配信,,U-NEXT,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,アニメ放題,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,ひかりTV,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,TELASA,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,J:COMオンデマンド,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,milplus,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,FOD,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,ニコニコチャンネル,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,DMM TV,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,Hulu,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,dTV,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,アニメタイムズ,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,ビデオマーケット,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,music.jp,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,GYAO!ストア,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,クランクイン！ビデオ,金曜 0:00 更新（木曜深夜）,2023年1月13日,4日遅れでワンダフルver.を配信
2023-01-13,,配信,,Amazon Prime Video,金曜 0:00 更新（木曜深夜）,2023年1月13日,放送ver.のみ配信
2023-01-13,,配信,,GYAO!,金曜 0:00 更新（木曜深夜）,2023年1月13日,放送ver.のみ配信
2023-01-13,,配信,,バンダイチャンネル,金曜 0:00 更新（木曜深夜）,2023年1月13日,放送ver.のみ配信
2023-01-13,,配信,,スマートパスプレミアム,金曜 0:00 更新（木曜深夜）,2023年1月13日,放送ver.のみ配信
2023-01-17,,配信,,Rakuten TV,火曜 0:00 更新（月曜深夜）,2023年1月17日,ワンダフルver.のみ配信
2023-01-17,,配信,,ムービーフルPlus,火曜 12:00 更新,2023年1月17日,放送ver.のみ配信
2023-01-17,,配信,,HAPPY!動画,火曜 12:00 更新,2023年1月17日,ワンダフルver.のみ配信
2023-01-19,,配信,,ふらっと動画,木曜 12:00 更新,2023年1月19日,放送ver.のみ配信
