開始,終了,タイプ,放送局,配信サイト,時間
2021-01-10,2021-06-27,放送,テレビ東京（製作局）をはじめとするテレビ東京系列全6局,,日曜 7:00 - 7:30
2021-01-12,2021-06-29,放送,BSテレ東,,火曜 17:00 - 17:29
2021-01-16,2021-07-10,放送,中国放送,,土曜 5:00 - 5:30
2021-01-16,2021-07-10,放送,仙台放送,,土曜 5:30 - 6:00
2021-01-16,2021-07-10,放送,新潟放送,,土曜 17:00 - 17:30
2021-01-17,2021-07-04,放送,テレビ静岡,,日曜 5:30 - 6:00
2021-01-23,2021-07-10,放送,テレビ和歌山,,土曜 8:30 - 9:00
2021-02-26,2021-08-20,放送,AT-X,,金曜 20:00 - 20:30
2021-04-03,2021-09-25,放送,テレビユー福島,,土曜 6:15 - 6:45
2021-01-10,,配信,,あにてれバンダイチャンネル,日曜 7:30 更新
2021-01-31,,配信,,TVer,日曜 7:30 更新
2021-02-23,,配信,,YouTube BN Picturesチャンネル,火曜 19:30 - 20:00
