開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-04-04,2021-03-20,放送,テレビ東京系列全6局,,土曜 7:30 - 8:00日曜 7:30 - 8:00,2020年4月4日 -  2021年3月20日2021年4月4日 - 2022年3月27日
2020-04-10,2022-04-01,放送,BSテレ東,,金曜 17:28 - 17:58,2020年4月10日 - 2022年4月1日
2020-06-05,2022-05-06,放送,奈良テレビ,,金曜 7:30 - 7:59,2020年6月5日 - 2022年5月6日
2021-04-05,,放送,びわ湖放送,,月曜(日曜深夜) 1:30 - 2:00日曜 10：00 ‐ 10:30,2021年4月5日 - 9月27日2021年10月3日 - 2023年1月15日
2020-04-07,,配信,,U-NEXT,火曜 0:00（月曜深夜） 更新,2020年4月7日
2020-04-07,,配信,,アニメ放題,火曜 0:00（月曜深夜） 更新,2020年4月7日
2020-04-08,,配信,,あにてれ（2021年6月まで）,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,dアニメストア,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,dTV,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,GYAO!,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,GYAO!ストア,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,Rakuten TV,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,ビデオマーケット,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,ニコニコチャンネル,水曜 12:00 更新,2020年4月8日
2020-04-08,,配信,,ニコニコ生放送,水曜 21:30 - 22:00,2020年4月8日
2020-04-15,,配信,,バンダイチャンネル,水曜 12:00 更新,2020年4月15日 -
2020-04-15,,配信,,J:COMオンデマンド,水曜 12:00 更新,2020年4月15日 -
2020-04-15,,配信,,ビデオパス,水曜 12:00 更新,2020年4月15日 -
2020-04-15,,配信,,ひかりTV,水曜 12:00 更新,2020年4月15日 -
