開始,終了,タイプ,放送局,配信サイト,時間
2021-10-03,2022-10-09,放送,テレビ東京系列全6局,,日曜 10:00 - 10:30
2021-10-05,2022-10-11,放送,AT-X,,火曜 23:30 - 水曜 0:00
2021-10-10,2022-10-16,放送,テレビ新広島,,日曜 5:30 - 6:00
2021-10-10,2022-10-16,放送,仙台放送,,日曜 6:30 - 7:00
2021-10-29,2022-10-28,放送,テレビ和歌山,,金曜 7:00 - 7:30
2021-11-27,,放送,キッズステーション,,土曜 11:30 - 12:00
2021-12-13,2022-12-19,放送,びわ湖放送,,月曜 17:25 - 17:55
2022-05-04,,放送,奈良テレビ,,水曜 7:30 - 8:00
2021-10-04,,配信,,dアニメストア,月曜 17:00以降 更新
2021-10-04,,配信,,U-NEXT,月曜 17:00以降 更新
2021-10-04,,配信,,アニメ放題,月曜 17:00以降 更新
2021-10-04,,配信,,dTV,月曜 17:00以降 更新
2021-10-04,,配信,,アニメタイムズ,月曜 17:00以降 更新
2021-10-04,,配信,,Hulu,月曜 17:00以降 更新
2021-10-04,,配信,,ニコニコチャンネル,月曜 17:00以降 更新
2021-10-04,,配信,,J:COM オンデマンド,月曜 17:00以降 更新
2021-10-04,,配信,,TELASA,月曜 17:00以降 更新
2021-10-04,,配信,,milplus,月曜 17:00以降 更新
2021-10-04,,配信,,auスマートパスプレミアム,月曜 17:00以降 更新
2021-10-04,,配信,,Rakuten TV,月曜 17:00以降 更新
2021-10-04,,配信,,バンダイチャンネル,月曜 17:00以降 更新
2021-10-04,,配信,,ビデオマーケット,月曜 17:00以降 更新
2021-10-04,,配信,,music.jp,月曜 17:00以降 更新
2021-10-04,,配信,,DMM.com,月曜 17:00以降 更新
2021-10-04,,配信,,GYAO!ストア,月曜 17:00以降 更新
2021-10-04,,配信,,HAPPY!動画,月曜 17:00以降 更新
2021-10-04,,配信,,Google Play,月曜 17:00以降 更新
2021-10-04,,配信,,TSUTAYA TV,月曜 17:00以降 更新
2021-10-04,,配信,,ニコニコ生放送,月曜 21:30 - 22:00
2021-10-05,,配信,,YouTube（ちゃおチャンネル｜テレビ東京公式 あにてれちゃんねる）,火曜 12:00 更新
