開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-07-08,2020-09-30,放送,BSフジ,,水曜 0:30 - 1:00（火曜深夜）,2020年7月8日 - 9月30日
2020-07-08,,配信,,AbemaTV,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,Amazonプライム・ビデオ,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,GYAO!,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,dアニメストア,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,ビデオマーケット,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,music.jp,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,U-NEXT,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,DMM.com,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,Hulu,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,FOD,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,Google Play,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,Rakuten TV,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,TSUTAYA,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,バンダイチャンネル,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,ひかりTV,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,ムービーフルPlus,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,MOVIEFULL,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,COCORO VIDEO,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,ふらっと動画,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,OnGenムービー,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,アニメ放題,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,HAPPY!動画,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,あにてれ,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,ジャンバリTVプレミアム,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,クランクイン！ビデオ,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,TELASA,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,J:COMオンデマンド,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,みるプラス,水曜 2:00 更新,2020年7月8日
2020-07-08,,配信,,スマートパスプレミアム,水曜 2:00 更新,2020年7月8日
