開始,終了,タイプ,放送局,配信サイト,時間
2021-04-11,2021-07-04,放送,TOKYO MX,,日曜 0:30 - 0:57（土曜深夜）
2021-04-11,2021-07-04,放送,BS11,,日曜 0:30 - 0:57（土曜深夜）
2021-04-11,2021-07-04,放送,群馬テレビ,,日曜 0:30 - 0:57（土曜深夜）
2021-04-11,2021-07-04,放送,とちぎテレビ,,日曜 0:30 - 0:57（土曜深夜）
2021-04-11,2021-07-04,放送,毎日放送,,日曜 3:38 - 4:08（土曜深夜）
2021-04-11,2021-07-04,放送,BS朝日,,日曜 23:30 - 月曜 0:00
2021-04-13,2021-07-06,放送,AT-X,,火曜 21:30 - 22:00
2021-04-15,2021-07-08,放送,WOWOW,,木曜 0:30 - 1:00（水曜深夜）
2021-04-16,2021-07-09,放送,福島テレビ,,金曜 1:25 - 1:55（木曜深夜）
2021-06-30,2021-09-22,放送,東北放送,,水曜 1:00 - 1:30（火曜深夜）
2021-04-11,,配信,,Amazon Prime Video,日曜 1:00（土曜深夜） 更新
2021-04-13,,配信,,dアニメストア（本店・for Prime Video）,火曜 12:00 更新
2021-04-13,,配信,,ニコニコチャンネル,火曜 12:00 更新
2021-04-13,,配信,,GYAO!,火曜 12:00 更新
2021-04-13,,配信,,バンダイチャンネル,火曜 12:00 更新
2021-04-13,,配信,,Hulu,火曜 12:00 更新
2021-04-13,,配信,,J:COMオンデマンド,火曜 12:00 更新
2021-04-13,,配信,,TELASA,火曜 12:00 更新
2021-04-13,,配信,,ビデオマーケット,火曜 12:00 更新
2021-04-13,,配信,,music.jp,火曜 12:00 更新
2021-04-13,,配信,,ひかりTV,火曜 12:00 更新
2021-04-13,,配信,,FOD,火曜 12:00 更新
2021-04-13,,配信,,U-NEXT,火曜 12:00 更新
2021-04-13,,配信,,アニメ放題,火曜 12:00 更新
2021-04-13,,配信,,MBS動画イズム,火曜 12:00 更新
2021-04-13,,配信,,TVer,火曜 12:00 更新
2021-04-13,,配信,,ABEMA,火曜 22:30 - 23:00
2021-04-13,,配信,,ニコニコ生放送,火曜 23:00 - 23:30
2022-07-09,2022-09-24,放送,TOKYO MX,,土曜 0:00 - 0:30（金曜深夜）
2022-07-09,2022-09-24,放送,BS11,,土曜 0:00 - 0:30（金曜深夜）
2022-07-09,2022-09-24,放送,群馬テレビ,,土曜 0:00 - 0:30（金曜深夜）
2022-07-09,2022-09-24,放送,とちぎテレビ,,土曜 0:00 - 0:30（金曜深夜）
2022-07-10,2022-09-25,放送,毎日放送,,日曜 2:08 - 2:38（土曜深夜）
2022-07-10,2022-09-25,放送,BS朝日,,日曜 23:30 - 月曜 0:00
2022-07-12,2022-09-27,放送,AT-X,,火曜 21:00 - 21:30
2022-07-14,2022-09-29,放送,WOWOW,,木曜 0:00 - 0:30（水曜深夜）
2022-07-14,2022-09-29,放送,福島テレビ,,木曜 2:25 - 2:55（水曜深夜）
2022-07-09,,配信,,Amazon Prime Video,土曜 0:30（金曜深夜） 更新
2022-07-11,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,月曜 12:00 更新
2022-07-11,,配信,,ひかりTV,月曜 12:00 更新
2022-07-11,,配信,,バンダイチャンネル,月曜 12:00 更新
2022-07-11,,配信,,Hulu,月曜 12:00 更新
2022-07-11,,配信,,ビデオマーケット,月曜 12:00 更新
2022-07-11,,配信,,music.jp,月曜 12:00 更新
2022-07-11,,配信,,GYAO!ストア,月曜 12:00 更新
2022-07-11,,配信,,ニコニコチャンネル,月曜 12:00 更新
2022-07-11,,配信,,U-NEXT,月曜 12:00 更新
2022-07-11,,配信,,アニメ放題,月曜 12:00 更新
2022-07-11,,配信,,FOD,月曜 12:00 更新
2022-07-11,,配信,,GYAO!,月曜 12:00 更新
2022-07-11,,配信,,ABEMA,月曜 12:00 - 12:30
2022-07-11,,配信,,ニコニコ生放送,月曜 22:30 - 23:00
2022-07-12,,配信,,TELASA,火曜 0:00（月曜深夜） 更新
2022-07-12,,配信,,J:COMオンデマンド メガパック,火曜 0:00（月曜深夜） 更新
2022-07-12,,配信,,auスマートパスプレミアム,火曜 0:00（月曜深夜） 更新
2022-07-12,,配信,,milplus 見放題パックプライム,火曜 0:00（月曜深夜） 更新
2022-07-15,,配信,,WOWOWオンデマンド,木曜 0:30（水曜深夜） 更新
