開始,終了,タイプ,放送局,配信サイト,時間
2020-07-04,2020-09-26,放送,TOKYO MX,,土曜 0:00 - 0:30（金曜深夜）
2020-07-04,2020-09-26,放送,BS11,,土曜 0:00 - 0:30（金曜深夜）
2020-07-04,2020-09-26,放送,とちぎテレビ,,土曜 0:00 - 0:30（金曜深夜）
2020-07-04,2020-09-26,放送,群馬テレビ,,土曜 0:00 - 0:30（金曜深夜）
2020-07-04,2020-09-26,放送,AT-X,,土曜 0:00 - 0:30（金曜深夜）
2020-07-05,2020-09-27,放送,毎日放送,,日曜 3:38 - 4:08（土曜深夜）
2020-07-07,2020-09-29,放送,テレビ愛知,,火曜 3:05 - 3:35（月曜深夜）
2020-07-04,,配信,,dアニメストア,土曜 0:00（金曜深夜） 更新（通常盤）木曜 12:00 更新（Hネルギー解放版）
2020-07-04,,配信,,dアニメストア ニコニコ支店,土曜 0:00（金曜深夜） 更新（通常盤）木曜 12:00 更新（Hネルギー解放版）
2020-07-04,,配信,,dアニメストア for Prime Video,土曜 0:00（金曜深夜） 更新（通常盤）木曜 12:00 更新（Hネルギー解放版）
2020-07-06,,配信,,ニコニコチャンネル,月曜 12:00 更新
2020-07-06,,配信,,GYAO!,月曜 12:00 更新
2020-07-06,,配信,,U-NEXT,月曜 12:00 更新
2020-07-06,,配信,,アニメ放題,月曜 12:00 更新
2020-07-06,,配信,,バンダイチャンネル,月曜 12:00 更新
2020-07-06,,配信,,J:COMオンデマンド,月曜 12:00 更新
2020-07-06,,配信,,TELASA,月曜 12:00 更新
2020-07-06,,配信,,FOD,月曜 12:00 更新
2020-07-06,,配信,,ひかりTV,月曜 12:00 更新
2020-07-06,,配信,,Amazonプライム・ビデオ,月曜 12:00 更新
2020-07-06,,配信,,ビデオマーケット,月曜 12:00 更新
2020-07-06,,配信,,DMM.com,月曜 12:00 更新
2020-07-06,,配信,,music.jp,月曜 12:00 更新
2020-07-06,,配信,,ABEMA,月曜 12:00 - 12:30
2020-07-06,,配信,,ニコニコ生放送,月曜 22:30 - 23:00
