開始,終了,タイプ,放送局,配信サイト,時間
2022-10-16,2022-12-25,放送,朝日放送テレビ（幹事局）およびテレビ朝日系列全24局,,日曜 2:00 - 2:30（土曜深夜）
2022-10-16,2022-12-25,放送,BS朝日,,日曜 23:30 - 月曜 0:00
2022-10-19,2022-12-29,放送,AT-X,,水曜 20:30 - 21:00
2022-10-16,,配信,,ABEMA,日曜 2:30 - 3:00（土曜深夜）
2022-10-18,,配信,,Amazon Prime Video,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,U-NEXT,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,アニメ放題,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,バンダイチャンネル,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,Hulu,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,dアニメストア（本店・ニコニコ支店・for Prime Video）,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,GYAO!,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,FOD,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,ひかりTV,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,ニコニコチャンネル,火曜 2:30（月曜深夜） 更新
2022-10-18,,配信,,TVer,火曜 12:00 更新
2022-10-18,,配信,,ニコニコ生放送,火曜 23:00 - 23:30
2022-10-20,,配信,,TELASA,木曜 0:00（水曜深夜） 更新
2022-10-20,,配信,,J:COMオンデマンド,木曜 0:00（水曜深夜） 更新
2022-10-20,,配信,,milplus,木曜 0:00（水曜深夜） 更新
2022-10-20,,配信,,auスマートパスプレミアム,木曜 0:00（水曜深夜） 更新
