開始,終了,タイプ,放送局,配信サイト,時間,期間
2020-10-04,2020-12-27,放送,AT-X,,日曜 21:30 - 22:00,2020年10月4日 - 12月27日
2020-10-04,2020-12-27,放送,TOKYO MX,,日曜 22:00 - 22:30,2020年10月4日 - 12月27日
2020-10-04,2020-12-27,放送,サンテレビ,,日曜 23:30 - 月曜 0:00,2020年10月4日 - 12月27日
2020-10-05,2020-12-28,放送,テレビ愛知,,月曜 1:05 - 1:35（日曜深夜）,2020年10月5日 - 12月28日
2020-10-07,2020-12-30,放送,BSフジ,,水曜 0:00 - 0:30（火曜深夜）,2020年10月7日 - 12月30日
2020-10-04,,配信,,dアニメストア,日曜 22:00 更新,2020年10月4日
2020-10-07,,配信,,ABEMA,水曜 22:00 - 22:30,2020年10月7日
2020-10-09,,配信,,ニコニコチャンネル,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,GYAO!,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,ひかりTV,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,FOD,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,バンダイチャンネル,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,Hulu,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,J:COMオンデマンド,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,TELASA,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,U-NEXT,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,アニメ放題,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,Amazonプライム・ビデオ,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,Rakuten TV,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,DMM.com,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,ビデオマーケット,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,HAPPY!動画,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,ムービーフルplus,金曜 22:00 更新,2020年10月9日
2020-10-09,,配信,,ニコニコ生放送,金曜 22:00 - 22:30,2020年10月9日
