開始,終了,タイプ,放送局,配信サイト,時間
2021-10-01,2021-12-24,放送,TOKYO MX,,金曜 22:00 - 22:30
2021-10-02,2021-12-25,放送,BSフジ,,土曜 0:30 - 1:00（金曜深夜）
2021-10-02,2021-12-25,放送,J:COMテレビ,,土曜 1:00 - 1:30（金曜深夜）
2022-07-08,2022-09-30,放送,TOKYO MX,,金曜 22:00 - 22:30
2022-07-09,2022-10-01,放送,BSフジ,,土曜 0:30 - 1:00（金曜深夜）
2021-10-01,,配信,,YouTube（LEVEL5ch・バンダイ公式チャンネル）,金曜 22:30 更新
2021-10-01,,配信,,ABEMA,金曜 22:30 更新
2021-10-01,,配信,,GYAO!,金曜 22:30 更新
2021-10-01,,配信,,Amazon Prime Video,金曜 22:30 更新
2021-10-01,,配信,,dアニメストア（本店・for Prime Video）,金曜 22:30 更新
2021-10-01,,配信,,J:COMオンデマンド,金曜 22:30 更新
2021-10-01,,配信,,milplus,金曜 22:30 更新
2021-10-01,,配信,,TELASA,金曜 22:30 更新
2021-10-01,,配信,,TSUTAYA TV,金曜 22:30 更新
2021-10-01,,配信,,U-NEXT,金曜 22:30 更新
2021-10-01,,配信,,アニメ放題,金曜 22:30 更新
2021-10-01,,配信,,アニメカ,金曜 22:30 更新
2021-10-01,,配信,,バンダイチャンネル,金曜 22:30 更新
2021-10-01,,配信,,ふらっと動画,金曜 22:30 更新
2021-10-01,,配信,,DMM.com,金曜 22:30 更新
2021-10-01,,配信,,Google Play,金曜 22:30 更新
2021-10-01,,配信,,GYAO!ストア,金曜 22:30 更新
2021-10-01,,配信,,HAPPY!動画,金曜 22:30 更新
2021-10-01,,配信,,music.jp,金曜 22:30 更新
2021-10-01,,配信,,Rakuten TV,金曜 22:30 更新
2021-10-01,,配信,,VIDEX,金曜 22:30 更新
2021-10-01,,配信,,ニコニコチャンネル,金曜 22:30 更新
2021-10-01,,配信,,ビデオマーケット,金曜 22:30 更新
2021-10-01,,配信,,ニコニコ生放送,金曜 22:30 - 23:00
2022-10-07,2022-03-17,放送,TOKYO MX,,金曜 22:00 - 22:30
2022-10-08,2022-03-18,放送,BSフジ,,土曜 0:30 - 1:00（金曜深夜）
2022-10-13,2022-04-07,放送,BS日テレ,,木曜 23:30 - 金曜 0:00
2022-10-07,,配信,,YouTube（LEVEL5ch・バンダイ公式チャンネル）,金曜 22:30 更新
2022-10-07,,配信,,ABEMA,金曜 22:30 更新
2022-10-07,,配信,,GYAO!,金曜 22:30 更新
2022-10-07,,配信,,Amazon Prime Video,金曜 22:30 更新
2022-10-07,,配信,,dアニメストア（本店・for Prime Video）,金曜 22:30 更新
2022-10-07,,配信,,J:COMオンデマンド,金曜 22:30 更新
2022-10-07,,配信,,milplus,金曜 22:30 更新
2022-10-07,,配信,,TELASA,金曜 22:30 更新
2022-10-07,,配信,,TSUTAYA TV,金曜 22:30 更新
2022-10-07,,配信,,U-NEXT,金曜 22:30 更新
2022-10-07,,配信,,アニメ放題,金曜 22:30 更新
2022-10-07,,配信,,アニメカ,金曜 22:30 更新
2022-10-07,,配信,,バンダイチャンネル,金曜 22:30 更新
2022-10-07,,配信,,ふらっと動画,金曜 22:30 更新
2022-10-07,,配信,,DMM.com,金曜 22:30 更新
2022-10-07,,配信,,Google Play,金曜 22:30 更新
2022-10-07,,配信,,GYAO!ストア,金曜 22:30 更新
2022-10-07,,配信,,HAPPY!動画,金曜 22:30 更新
2022-10-07,,配信,,music.jp,金曜 22:30 更新
2022-10-07,,配信,,Rakuten TV,金曜 22:30 更新
2022-10-07,,配信,,VIDEX,金曜 22:30 更新
2022-10-07,,配信,,ニコニコチャンネル,金曜 22:30 更新
2022-10-07,,配信,,ビデオマーケット,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
2022-10-07,,配信,,,金曜 22:30 更新
