開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2022-10-09,2023-03-26,放送,NHK総合,,日曜 0:00 - 0:25（土曜深夜）,2022年10月9日 - 2023年3月26日,日本全域,
2022-10-10,,配信,,dアニメストア,毎週月曜 20:00,,,
2022-10-10,,配信,,dアニメストア ニコニコ支店,毎週月曜 20:00,,,
2022-10-10,,配信,,dアニメストア for Prime Video,毎週月曜 20:00,,,
2022-10-10,,配信,,Hulu,毎週月曜 20:00,,,
2022-10-10,,配信,,U-NEXT,毎週月曜 20:00,,,
2022-10-15,,配信,,ABEMAプレミアム,毎週土曜 20:00,,,
2022-10-15,,配信,,Amazon Prime Video,毎週土曜 20:00,,,
2022-10-15,,配信,,dTV,毎週土曜 20:00,,,
2022-10-15,,配信,,FOD,毎週土曜 20:00,,,
2022-10-16,,配信,,J:COMオンデマンド,毎週日曜 0:00,,,
2022-10-16,,配信,,milplus,毎週日曜 0:00,,,
2022-10-15,,配信,,NETFLIX,毎週土曜 20:00,,,
2022-10-15,,配信,,Paravi,毎週土曜 20:00,,,
2022-10-16,,配信,,TELASA,毎週日曜 0:00,,,
2022-10-16,,配信,,TELASA（auスマートパスプレミアム）,毎週日曜 0:00,,,
2022-10-15,,配信,,アニメ放題,毎週土曜 20:00,,,
2022-10-15,,配信,,ひかりTV,毎週土曜 20:00,,,
2022-10-16,,配信,,ABEMA,毎週日曜 1:30,,,
2022-10-15,,配信,,GYAO!,毎週土曜 20:00,,,
2022-10-15,,配信,,ニコニコ生放送,毎週土曜 22:00,,,
2022-10-15,,配信,,DMM.com,毎週土曜 20:00,,,
2022-10-15,,配信,,GYAO!ストア,毎週土曜 20:00,,,
2022-10-16,,配信,,HAPPY!動画,毎週日曜 12:00,,,
2022-10-15,,配信,,music.jp,毎週土曜 20:00,,,
2022-10-15,,配信,,Rakuten TV,毎週土曜 20:00,,,
2022-10-16,,配信,,VIDEX,毎週日曜 10:00,,,
2022-10-15,,配信,,ニコニコチャンネル,毎週土曜 20:00,,,
2022-10-15,,配信,,バンダイチャンネル,毎週土曜 20:00,,,
2022-10-15,,配信,,ビデオマーケット,毎週土曜 20:00,,,
2022-10-18,,配信,,ムービーフルPlus,毎週火曜 12:00,,,
