開始,終了,タイプ,放送局,配信サイト,時間,期間
2018-01-04,2018-03-22,放送,AT-X,,木曜 23:00 - 23:30,2018年1月4日 - 3月22日
2018-01-04,2018-03-22,放送,TOKYO MX,,木曜 23:30 - 金曜 0:00,2018年1月4日 - 3月22日
2018-01-05,2018-03-23,放送,サンテレビ,,金曜 0:30 - 1:00（木曜深夜）,2018年1月5日 - 3月23日
2018-01-05,2018-03-23,放送,KBS京都,,金曜 1:00 - 1:30（木曜深夜）,2018年1月5日 - 3月23日
2018-01-05,2018-03-23,放送,BS11,,金曜 1:30 - 2:00（木曜深夜）,2018年1月5日 - 3月23日
2018-04-29,2018-06-03,放送,山梨放送,,日曜 1:00 - 2:00（土曜深夜）,2018年4月29日 - 6月3日
2021-08-15,2021-09-26,放送,長野朝日放送,,日曜 10:00 - 10:55,2021年8月15日 - 9月26日[59]
2018-01-05,,配信,,dアニメストア,金曜 12:00 更新,2018年1月5日
2018-01-05,,配信,,ニコニコ生放送,金曜 23:00 - 23:30,2018年1月5日
2018-01-09,,配信,,Amazon Prime Video,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,J:COMオンデマンド,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,みるプラス,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,ビデオパス,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,フジテレビオンデマンド,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,U-NEXT,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,アニメ放題,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,GYAO!,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,バンダイチャンネル,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,Hulu,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,Google Play,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,ひかりTV,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,アクトビラ,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,dTV,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,ビデオマーケット,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,Rakuten TV,火曜 0:00（月曜深夜） 更新,2018年1月9日
2018-01-09,,配信,,AbemaTV,火曜 0:00 - 0:30（月曜深夜）,2018年1月9日
