開始,終了,タイプ,放送局,配信サイト,時間,期間
2023-01-07,2023-03-25,放送,TOKYO MX,,土曜 22:00 - 22:30,2023年1月7日 - 3月25日
2023-01-07,2023-03-25,放送,BS11,,土曜 22:00 - 22:30,2023年1月7日 - 3月25日
2023-01-09,2023-03-27,放送,AT-X,,月曜 0:30 - 1:00（日曜深夜）,2023年1月9日 - 3月27日
2023-01-07,,配信,,dアニメストア,土曜 23:00 更新,2023年1月7日
2023-01-12,,配信,,ABEMA,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,Amazon Prime Video,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,アニメタイムズ,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,auスマートパスプレミアム,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,バンダイチャンネル,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,dTV,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,DMM TV,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,FOD,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,Hulu,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,J:COMオンデマンド,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,milplus,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,TELASA,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,U-NEXT,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,クランクイン！ビデオ,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,GYAO!ストア,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,ニコニコ動画,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,Rakuten TV,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-12,,配信,,ビデオマーケット,木曜 0:00（水曜深夜） 更新,2023年1月12日
2023-01-14,,配信,,ニコニコ生放送,土曜 0:00 - 0:30（金曜深夜）,2023年1月14日
