開始,終了,タイプ,放送局,配信サイト,時間
2019-07-12,,配信,,AbemaTV,金曜 23:30 - 土曜 0:00
2019-07-19,,配信,,バンダイチャンネル,金曜 12:00 更新
2019-07-20,,配信,,あにてれ,土曜 0:00 更新
2019-07-20,,配信,,Amazon Prime Video,土曜 0:00 更新
2019-07-20,,配信,,FOD,土曜 0:00 更新
2019-07-20,,配信,,GYAO!,土曜 0:00 更新
2019-07-20,,配信,,クランクイン！ビデオ,土曜 0:00 更新
2019-07-20,,配信,,アニメ放題,土曜 0:00 更新
2019-07-20,,配信,,TSUTAYA TV,土曜 0:00 更新
2019-07-20,,配信,,dアニメストア,土曜 0:00 更新
2019-07-20,,配信,,DMM.com,土曜 0:00 更新
2019-07-20,,配信,,ニコニコチャンネル,土曜 0:00 更新
2019-07-20,,配信,,ひかりTV,土曜 0:00 更新
2019-07-20,,配信,,ビデオマーケット,土曜 0:00 更新
2019-07-20,,配信,,U-NEXT,土曜 0:00 更新
2019-07-20,,配信,,Rakuten TV,土曜 0:00 更新
2019-07-20,,配信,,ニコニコ生放送,土曜 0:00 - 0:30
2019-07-21,,配信,,ビデオパス,日曜 0:00 更新
2022-04-08,2022-07-01,放送,TBSテレビ,,金曜 1:28 - 1:58（木曜深夜）
2022-04-08,2022-07-01,放送,BS11,,金曜 23:30 - 土曜 0:00
2022-04-09,2022-07-02,放送,熊本放送,,土曜 2:25 - 2:55（金曜深夜）
2022-04-12,,放送,AT-X,,火曜 21:30 - 22:00
2022-04-17,,放送,TBSチャンネル1,,日曜 1:00 - 1:30（土曜深夜）
2022-04-08,,配信,,ニコニコチャンネル,金曜 12:00 更新
2022-04-08,,配信,,ニコニコ生放送,金曜 22:00 - 22:30
2022-04-11,,配信,,dアニメストア,月曜 12:00 更新
2022-04-15,,配信,,ABEMAビデオ,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,Amazon Prime Video,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,dTV,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,バンダイチャンネル,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,TELASA,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,Hulu,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,U-NEXT,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,ひかりTV,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,FOD,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,Rakuten TV,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,ビデオマーケット,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,GYAO!ストア,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,DMM.com,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,GYAO!,金曜 0:00（木曜深夜） 更新
2022-04-15,,配信,,ABEMA[229],金曜 0:00 - 0:30（木曜深夜）
