開始,終了,タイプ,放送局,配信サイト,時間,期間
2021-04-11,,放送,TOKYO MX,,日曜 0:00 - 0:30（土曜深夜）,2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）
2021-04-11,,放送,とちぎテレビ,,日曜 0:00 - 0:30（土曜深夜）,2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）
2021-04-11,,放送,群馬テレビ,,日曜 0:00 - 0:30（土曜深夜）,2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）
2021-04-11,,放送,BS11,,日曜 0:00 - 0:30（土曜深夜）,2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）
2021-04-11,,放送,中京テレビ,,日曜 1:55 - 2:25（土曜深夜）（第1クール）日曜 2:25 - 2:55（土曜深夜）（第2クール）,2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）
2021-04-11,,放送,AT-X,,日曜 21:30 - 22:00,2021年4月11日 - 6月20日（第1クール）2021年10月3日 - 12月26日（第2クール）
2021-04-13,,放送,読売テレビ,,火曜 2:29 - 2:59（月曜深夜）,2021年4月13日 - 6月22日（第1クール）2021年10月5日 - 12月28日（第2クール）
2022-03-12,2022-03-19,放送,TOKYO MX,,土曜 23:30 - 日曜 0:00,2022年3月12日 - 3月19日
2022-03-12,2022-03-19,放送,とちぎテレビ,,土曜 23:30 - 日曜 0:00,2022年3月12日 - 3月19日
2022-03-12,2022-03-19,放送,群馬テレビ,,土曜 23:30 - 日曜 0:00,2022年3月12日 - 3月19日
2022-03-12,2022-03-19,放送,BS11,,土曜 23:30 - 日曜 0:00,2022年3月12日 - 3月19日
2022-03-20,2022-03-27,放送,中京テレビ,,日曜 2:25 - 2:55（土曜深夜）,2022年3月20日 - 3月27日
2022-05-17,2022-05-24,放送,読売テレビ,,火曜 1:59 - 2:29（月曜深夜）,2022年5月17日 - 5月24日
,,放送,AT-X,,未定,2022年3月以降
2021-04-11,,配信,,ABEMA,日曜 0:00 - 0:30（土曜深夜）,2021年4月11日（第1クール）2021年10月2日（第2クール）
2021-04-18,,配信,,dアニメストア,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,GYAO!,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,niconico,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,ひかりTV,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,Netflix,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,FOD,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,バンダイチャンネル,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,Hulu,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,Amazonプライム・ビデオ,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,J:COMオンデマンド,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,TELASA,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,アニメ放題,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,U-NEXT,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,Rakuten TV,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,DMM.com,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,ビデオマーケット,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,HAPPY!動画,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,クランクイン！ビデオ,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
2021-04-18,,配信,,ムービーフルplus,日曜 0:00（土曜深夜） 以降,2021年4月18日（第1クール）2021年10月10日（第2クール）
