id,rows_count,user_mean
2020-04-51,34,83.0
2021-10-381,32,128.08333333333334
2022-10-555,31,4512.4
2021-07-326,31,201.84615384615384
2022-10-586,31,140.4
2022-07-529,31,56.52
2022-10-547,30,928.1538461538462
2020-10-178,30,400.76
2021-10-387,30,261.6666666666667
2022-04-475,30,145.91666666666666
2021-10-357,30,106.0
2022-10-580,30,25.44
2022-04-484,29,1907.9166666666667
2022-04-460,29,548.25
2020-10-159,29,264.0833333333333
2022-04-445,29,151.16666666666666
2021-10-363,29,51.41666666666666
2020-07-115,29,20.384615384615383
2021-01-239,29,6.636363636363637
2021-01-226,28,558.6363636363636
2021-10-368,28,514.9166666666666
2021-01-216,28,295.6923076923077
2021-01-187,28,175.16666666666666
2023-01-638,28,134.53333333333333
2022-07-531,28,91.5
2023-01-622,28,79.08333333333333
2023-01-603,28,77.66666666666667
2023-01-614,28,76.83333333333333
2021-07-314,28,44.92307692307692
2021-10-369,27,376.25
2022-07-498,27,320.1666666666667
2021-01-220,27,204.75
2023-01-618,27,175.33333333333334
2021-01-191,27,150.15384615384616
2023-01-628,27,111.91666666666669
2021-07-307,27,97.5
2020-10-150,27,87.0
2023-01-636,27,78.83333333333333
2020-10-166,27,78.46153846153847
2020-01-31,27,66.3076923076923
2022-01-429,27,54.0
2020-10-175,27,52.27272727272727
2021-07-310,27,42.0
2023-01-615,27,41.41666666666666
2022-07-537,27,21.666666666666668
2022-01-431,26,1020.6666666666666
2020-04-63,26,374.6666666666667
2021-07-335,26,285.8333333333333
2021-07-322,26,283.0769230769231
2021-10-356,26,240.80769230769232
2021-07-316,26,220.33333333333331
2022-04-491,26,187.41666666666663
2021-07-315,26,162.0
2021-01-235,26,137.83333333333334
2022-01-435,26,106.16666666666669
2020-01-11,26,87.0
2020-04-82,26,75.48
2021-10-392,26,72.25
2021-01-221,26,69.75
2021-10-367,26,66.84615384615384
2021-07-331,26,51.41666666666666
2023-01-633,26,42.0
2022-01-426,26,17.583333333333332
2021-01-200,25,1128.923076923077
2021-07-309,25,524.2857142857143
2020-07-122,25,420.9166666666667
2022-04-480,25,365.6363636363636
2022-01-412,25,337.3333333333333
2021-10-362,25,220.5
2022-04-495,25,192.16666666666663
2022-07-532,25,157.41666666666666
2021-08-344,25,147.9047619047619
2022-04-449,25,138.41666666666666
2022-04-471,25,128.08333333333334
2022-04-473,25,125.91666666666669
2021-01-195,25,86.08333333333333
2023-01-612,25,74.0
2022-01-439,25,67.58333333333333
2023-01-597,25,51.84615384615385
2022-07-506,25,45.25
2023-01-644,25,36.083333333333336
2023-01-626,25,35.583333333333336
2022-10-588,24,3202.25
2020-10-147,24,706.8461538461538
2020-10-183,24,358.92857142857144
2023-01-604,24,281.2307692307692
2020-10-149,24,216.7692307692308
2022-07-520,24,201.63888888888889
2023-01-632,24,195.7692307692308
2021-01-227,24,190.75
2023-01-631,24,163.33333333333334
2021-01-206,24,123.5
2022-01-432,24,110.91666666666669
2021-10-346,24,101.07692307692308
2021-10-376,24,96.41666666666669
2021-10-372,24,89.41666666666667
2021-01-213,24,77.16666666666667
2022-10-549,24,75.91666666666667
2022-01-420,24,75.83333333333333
2023-01-613,24,71.66666666666667
2020-04-94,24,70.0
2020-10-139,24,64.38461538461539
2023-01-634,24,61.5
2020-01-29,24,60.583333333333336
2020-04-62,24,58.31578947368421
2021-10-366,24,56.15384615384615
2021-07-308,24,41.53846153846154
2021-07-339,24,39.583333333333336
2022-01-422,24,31.83333333333333
2021-01-233,24,30.58333333333333
2023-01-609,23,673.75
2023-01-605,23,641.1666666666666
2022-10-581,23,612.72
2023-01-599,23,284.4166666666667
2023-01-616,23,275.25
2020-10-146,23,274.24
2022-04-447,23,255.6153846153846
2020-07-106,23,181.92307692307693
2021-10-347,23,170.6153846153846
2022-10-562,23,162.35
2022-04-459,23,153.41666666666666
2022-01-406,23,139.58333333333334
2022-07-512,23,126.6153846153846
2020-10-138,23,118.66666666666669
2022-04-463,23,108.58333333333331
2023-01-624,23,99.66666666666669
2020-10-153,23,77.08333333333333
2023-01-619,23,62.23076923076923
2020-07-113,23,57.16666666666666
2022-10-575,23,56.0
2021-01-202,23,47.083333333333336
2023-01-608,23,46.583333333333336
2022-04-450,23,42.67307692307692
2022-10-554,23,14.576923076923077
2022-07-533,23,12.666666666666666
2022-04-452,22,1182.5384615384614
2022-01-417,22,815.1666666666666
2021-08-345,22,669.2222222222222
2020-07-116,22,306.0
2022-01-409,22,298.0
2021-10-359,22,297.6666666666667
2021-01-194,22,267.0
2022-07-504,22,210.30769230769232
2020-04-70,22,188.56410256410257
2022-04-488,22,173.80769230769232
2020-04-54,22,147.25
2022-07-534,22,146.66666666666666
2023-01-625,22,144.91666666666666
2022-10-559,22,144.16666666666666
2022-04-465,22,141.15384615384616
2020-01-20,22,133.58333333333334
2021-10-385,22,129.5
2022-01-414,22,109.3
2020-04-71,22,108.0
2022-10-550,22,101.07692307692308
2021-01-188,22,100.33333333333331
2020-01-6,22,87.41666666666667
2022-04-479,22,79.23076923076923
2023-01-606,22,71.75
2020-10-176,22,69.91666666666667
2022-10-594,22,60.75
2022-07-530,22,58.083333333333336
2020-07-129,22,54.25
2021-10-365,22,48.38461538461539
2023-01-635,22,44.25
2020-01-34,22,42.91666666666666
2023-01-629,22,37.66666666666666
2020-10-163,22,28.46153846153846
2021-01-211,22,9.833333333333334
2022-07-500,21,2227.076923076923
2022-10-582,21,1924.1666666666667
2021-01-205,21,1114.6666666666667
2020-01-3,21,896.6153846153846
2020-04-89,21,740.8333333333334
