期間,時間,放送局,対象地域,備考,タイプ,配信サイト,話数,サブタイトル,脚本,絵コンテ,演出,作画監督,総作画監督,開始,終了
2021年7月7日 - 9月29日,水曜 2:35 - 3:05（火曜深夜）,テレビ北海道,北海道,,放送,,,,,,,,,2021-07-07,2021-09-29
2021年7月7日 - 9月29日,水曜 2:35 - 3:05（火曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2021-07-07,2021-09-29
2021年7月8日 - 9月30日,木曜 2:15 - 2:45（水曜深夜）,TVQ九州放送,福岡県,,放送,,,,,,,,,2021-07-08,2021-09-30
2021年9月25日 -,土曜 20:00 - 日曜 1:00,TBSチャンネル2,日本全域,CS放送 / 一挙放送,放送,,,,,,,,,2021-09-25,
2021年7月4日,日曜 22:30 - 23:00,,,,配信,ABEMA,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,Amazonプライム・ビデオ,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,GYAO!ストア,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,TSUTAYA TV,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,DMM.com,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,ニコニコチャンネル,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,HAPPY!動画,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,バンダイチャンネル,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,ひかりTV,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,ビデオマーケット,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,music.jp,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,ムービーフル,,,,,,,,2021-07-04,
2021年7月4日,日曜 23:00 更新,,,,配信,Rakuten TV,,,,,,,,2021-07-04,
2021年7月7日,水曜 12:00 更新,,,,配信,アニメ放題,,,,,,,,2021-07-07,
2021年7月7日,水曜 12:00 更新,,,,配信,dアニメストア,,,,,,,,2021-07-07,
2021年7月7日,水曜 12:00 更新,,,,配信,hulu,,,,,,,,2021-07-07,
2021年7月7日,水曜 12:00 更新,,,,配信,U-NEXT,,,,,,,,2021-07-07,
2021年7月7日,水曜 23:30 - 木曜 0:00,,,,配信,ニコニコ生放送,,,,,,,,2021-07-07,
2022年10月2日 - 12月25日,日曜 22:30 - 23:00,TOKYO MX,東京都,,放送,,,,,,,,,2022-10-02,2022-12-25
2022年10月2日 - 12月25日,日曜 23:30 - 月曜 0:00,KBS京都,京都府,,放送,,,,,,,,,2022-10-02,2022-12-25
2022年10月2日 - 12月25日,日曜 23:30 - 月曜 0:00,サンテレビ,兵庫県,,放送,,,,,,,,,2022-10-02,2022-12-25
2022年10月3日 - 12月26日,水曜 0:00 - 0:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,,,,,,,2022-10-03,2022-12-26
2022年10月4日 - 12月27日,水曜 2:35 - 3:05（火曜深夜）,テレビ北海道,北海道,,放送,,,,,,,,,2022-10-04,2022-12-27
2022年10月4日 - 12月27日,水曜 2:35 - 3:05（火曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2022-10-04,2022-12-27
2022年10月4日 - 12月27日,木曜 2:15 - 2:45（水曜深夜）,TVQ九州放送,福岡県,,放送,,,,,,,,,2022-10-04,2022-12-27
2022年10月2日,日曜 22:30 - 23:00,,,,配信,ABEMA,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,Amazonプライム・ビデオ,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,GYAO!ストア,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,TSUTAYA TV,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,DMM.com,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,ニコニコチャンネル,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,HAPPY!動画,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,バンダイチャンネル,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,ひかりTV,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,ビデオマーケット,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,music.jp,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,ムービーフル,,,,,,,,2022-10-02,
2022年10月2日,日曜 23:00 更新,,,,配信,Rakuten TV,,,,,,,,2022-10-02,
2022年10月5日,水曜 12:00 更新,,,,配信,アニメ放題,,,,,,,,2022-10-05,
2022年10月5日,水曜 12:00 更新,,,,配信,dアニメストア,,,,,,,,2022-10-05,
2022年10月5日,水曜 12:00 更新,,,,配信,hulu,,,,,,,,2022-10-05,
2022年10月5日,水曜 12:00 更新,,,,配信,U-NEXT,,,,,,,,2022-10-05,
2022年10月5日,水曜 23:30 - 木曜 0:00,,,,配信,ニコニコ生放送,,,,,,,,2022-10-05,
2023年2月5日 -,日曜 22:30 - 23:00,TOKYO MX,東京都,,放送,,,,,,,,,2023-02-05,
2023年2月5日 -,日曜 23:30 - 月曜 0:00,KBS京都,京都府,,放送,,,,,,,,,2023-02-05,
2023年2月5日 -,日曜 23:30 - 月曜 0:00,サンテレビ,兵庫県,,放送,,,,,,,,,2023-02-05,
2023年2月6日 -,水曜 0:00 - 0:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,,,,,,,2023-02-06,
2023年2月7日 -,水曜 2:35 - 3:05（火曜深夜）,テレビ北海道,北海道,,放送,,,,,,,,,2023-02-07,
2023年2月7日 -,水曜 2:35 - 3:05（火曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2023-02-07,
2023年2月7日 -,木曜 2:15 - 2:45（水曜深夜）,TVQ九州放送,福岡県,,放送,,,,,,,,,2023-02-07,
2023年2月7日 -,木曜 2:15 - 2:45（水曜深夜）,,,,配信,,Ep1,TRIGGER - before the Radiant Glory 前編,中西やすひろ,あおきえい,馬川奈央,合田浩章猪股雅美,-,2023-02-07,
2023年1月8日 - 1月29日,日曜 22:30 - 23:00,TOKYO MX,東京都,,放送,,,,,,,,,2023-01-08,2023-01-29
2023年1月8日 - 1月29日,日曜 23:30 - 月曜 0:00,サンテレビ,兵庫県,,放送,,,,,,,,,2023-01-08,2023-01-29
2023年1月9日 - 1月30日,水曜 0:00 - 0:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,,,,,,,2023-01-09,2023-01-30
2023年1月10日 - 1月31日,水曜 2:35 - 3:05（火曜深夜）,テレビ愛知,愛知県,,放送,,,,,,,,,2023-01-10,2023-01-31
