期間,時間,放送局,対象地域,備考
2020年1月3日 - 3月27日,金曜 20:30 - 21:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり
,金曜 22:30 - 23:00,TOKYO MX,東京都,
,金曜 23:00 - 23:30,BS11,日本全域,BS放送 / 『ANIME+』枠
2020年1月4日 - 3月28日,土曜 0:00 - 0:30（金曜深夜）,KBS京都,京都府,
,,サンテレビ,兵庫県,
,土曜 3:05 - 3:35（金曜深夜）,テレビ愛知,愛知県,
