user_id,average_interval,tweet_count
1039045261547331584,275.0,2
1110554922125148160,301.6666666666667,3
1111640213766303744,199.33333333333334,39
1131384959313227776,361.5,2
1138467521722322944,80.71428571428571,14
116298005,230.33333333333334,3
1165284414,319.875,8
1175263749042626560,285.0833333333333,36
1176890346233401345,455.0,2
121085373,500.5,2
121456141,264.5238095238095,21
1214774972,537.2,10
1226892068091383809,384.42857142857144,7
1242173602901807104,34.6256157635468,203
1244241895397552135,1.5,8
1245060748490891265,169.30769230769232,13
124800535,296.0,2
1251463461084618753,42.53333333333333,60
1251470533138341890,155.01960784313727,51
128273445,338.90909090909093,11
1286980828447178752,41.80357142857143,56
1287195431529664515,32.41428571428571,70
1287692705053589506,52.857142857142854,7
1297238451801137152,607.0,2
1317571861,265.0,3
1327287891052044295,867.453125,64
1341504906,951.0,2
1396696270702452740,423.2857142857143,7
1398067321244065795,828.5,2
1413568299997155329,201.11111111111111,27
1421919628536647682,481.0,3
1437383075978121218,296.5,2
144315451,448.625,8
1532855306,326.0,3
1672184269,196.4,5
1715551585,510.0,9
17990949,570.5,4
1966947564,250.83870967741936,31
2422241756,436.0,6
2467403274,348.1111111111111,18
2605435218,15.000000000000002,4
267200763,176.0,5
2793439765,325.6666666666667,6
284050752,576.3333333333334,3
2909799212,237.28571428571428,7
2910435398,247.76923076923077,13
3048822008,460.5,6
3135691284,47.41379310344828,29
32893785,960.5,2
34128810,308.10526315789474,19
3543191054,325.05263157894734,19
381646091,1034.5,2
416028790,433.25,4
4181454012,70.92857142857143,14
4242037092,472.0,2
456376828,30.358490566037737,53
50293755,254.72881355932202,59
534907715,147.5,2
546089484,387.25,8
55217016,203.66666666666666,6
66082474,818.0,4
725878906943762433,238.85714285714286,7
730244904,393.0,15
736175264439226368,636.0,2
742319991215661057,427.0,2
761891407904727040,281.0,5
767368846256640001,563.75,4
800057633025630208,38.5,72
813934752038162434,272.0,2
8264502,735.5,2
829496494554173440,210.90196078431373,51
848354743176921089,144.33333333333334,21
859376027784445954,296.0,12
88086843,338.14285714285717,7
93023534,554.0,3
935157932441796608,2.0,2
938991567901040640,1198.6,5
963227430,429.75,4
97173026,86.0,3
