user_id,average_interval,tweet_count
1000967999325519873,30.2,5
1014379429672308738,338.0,2
1017789175368568833,100.5,2
1021753362503495680,1007.0,2
1023506289702264832,323.3404255319149,47
1040892574532136960,1026.25,4
1041316869582409728,430.5,2
1041699243625332739,271.3333333333333,3
1044532339483656192,181.0,2
1049469924521857024,10.25,4
105194431,971.5,2
105287057,738.6470588235294,34
1053935451952701440,596.4285714285714,7
1055138054,699.92,25
105787032,1223.0,2
1059054949445754881,1087.0,2
1068179575115415554,525.5,2
1070952721,565.0,2
107485402,181.9090909090909,66
1089888356274556928,862.8333333333334,6
1094840727949869056,410.0063694267516,157
109903331,871.6666666666666,3
1103331414085271552,705.5,2
1103873272100282369,235.0,2
1106160386594631680,206.0,4
1115598550711189507,602.5,2
1120632285752020992,730.0,8
1127722855,434.6666666666667,3
1127884463046778880,573.5,2
1144644440822177792,187.25,4
1147382803,751.6666666666666,3
1147528474719969280,190.0,14
1165284414,346.6666666666667,6
1166944244461797376,656.625,8
1187725139586080768,244.0,2
1190985674242920448,383.5,2
1198594893351772160,592.5,2
1200995752622735360,507.50000000000006,2
1201053198468829184,616.75,4
1201064148622118913,372.4,5
1203860801229975552,3.214285714285715,14
121085373,557.5,6
1212973284603486209,216.81012658227849,79
1213433415413817344,846.3333333333334,3
1215865607746281473,557.9310344827586,29
1215919170228875264,586.5,6
1217000959030640640,732.0,5
1217235580569829376,399.5,2
1221268014667980800,188.33333333333334,3
1238198822,953.0,2
1242726824427147264,653.5,2
1280808391,25.5,2
1304348216,288.0,4
132094314,112.8,5
1333968691,145.5,4
136878639,972.3333333333334,3
1386820638,700.6666666666666,6
14121754,878.6666666666666,3
1447722091,649.4285714285714,14
148251773,223.55555555555554,9
155830262,342.7,10
1625869226,507.0,6
164282699,109.25,32
1672184269,271.3333333333333,3
1688154127,414.1666666666667,6
172565251,0.0,2
17306366,733.5,2
173269152,299.0,4
173490090,368.8,5
174716767,486.0,9
1947072860,911.0,2
196049630,180.0,2
208541679,284.33333333333337,3
214080683,1074.0,3
217344328,692.5,6
227330294,485.0,3
2348282233,395.61538461538464,13
2356408644,480.0,4
2364458942,406.125,8
2369952594,525.3333333333334,3
2423813221,213.6875,16
2436875515,48.666666666666664,3
244860836,590.0,2
2454296588,182.375,8
2483736194,294.1666666666667,30
2490778590,488.53333333333336,15
250653514,932.0,3
2509877414,548.3333333333334,6
2549106570,0.0,2
2551559395,248.54545454545453,11
2581102232,282.2,30
2589201290,725.0,3
2692820846,164.0,2
2714560675,802.0,2
271916450,295.5,2
2793439765,319.90909090909093,11
2910435398,285.375,8
2930572478,180.05882352941177,34
3032013359,57.44444444444444,9
3048822008,600.5,2
306239569,252.5,2
30854117,245.2,10
3163755536,506.6666666666667,3
317222146,183.66666666666666,3
325026499,687.5,2
3252641755,781.1428571428571,7
32893785,663.5,2
3297874015,813.75,4
3320028156,488.8421052631579,19
34128810,436.6666666666667,6
341458039,314.0,2
3692692452,127.05882352941177,51
3749486778,123.61864406779661,118
385443743,71.0,2
3993861,552.5,2
410540232,444.55555555555554,9
435564264,345.6666666666667,3
446166216,431.0,19
452195005,437.8333333333333,6
507398190,418.0,2
519201693,320.0,2
527416411,21.5,2
58709764,80.5,2
598523524,447.2,5
599300522,478.0,5
615092551,1154.642857142857,14
66313930,52.4,10
66971065,364.50000000000006,2
706099521487446017,700.5000000000001,2
70622589,14.0,6
712715826,467.75,4
726927416388665345,660.5,2
740878054822551552,435.0,2
74208399,897.6,5
759165894798946304,537.5,2
764961509273329664,14.043478260869565,23
773152252148146177,566.6666666666666,3
783647857790193664,40.0,2
78619878,585.6,10
808210625474138113,201.0,2
812662608478113793,712.9444444444445,18
815807519322820608,73.33333333333333,3
841341764690563073,450.0,4
842171211182362626,971.5,2
869428839650394114,231.0,4
871322120428466176,188.0,2
873728528260280320,285.0,2
882502837917306881,1.0,2
88696650,836.5,2
917833021209710592,597.7777777777778,9
92743815,312.3333333333333,3
93481718,259.6666666666667,3
947786281223720960,460.1666666666667,6
952890017478619136,1045.6666666666667,3
953561596760006657,142.0,2
958854163,795.5,2
961223524714127360,349.77777777777777,9
96540134,478.0,2
975052451131703297,327.25,4
977379589159755777,158.5,8
977872992100171776,339.52941176470586,17
988966248175157248,583.75,4
99292266,472.25,4
997111977699786752,189.70454545454547,44
997297056304644097,359.22758620689655,145
997301392120299521,518.4285714285714,7
