date,tweet_users_count,tweet_count,tweet_ratio,week
2020-04-11,537,871,1.621973929236499,Week 1
2020-04-18,568,888,1.5633802816901408,Week 2
2020-04-25,643,972,1.5116640746500778,Week 3
2020-05-02,728,1112,1.5274725274725274,Week 4
2020-05-09,648,1091,1.683641975308642,Week 5
2020-05-16,753,1269,1.6852589641434264,Week 6
2020-05-23,751,1313,1.748335552596538,Week 7
2020-05-30,731,1258,1.7209302325581395,Week 8
2020-06-06,764,1398,1.8298429319371727,Week 9
2020-06-13,743,1347,1.812920592193809,Week 10
2020-06-20,958,1624,1.6951983298538622,Week 11
2020-06-27,1147,2042,1.7802964254577158,Week 12
2020-07-04,176,302,1.7159090909090908,Week 13
2020-07-11,113,174,1.5398230088495575,Week 14
2020-07-18,70,132,1.8857142857142857,Week 15
2020-07-25,87,125,1.4367816091954022,Week 16
2020-08-01,87,145,1.6666666666666667,Week 17
2020-08-08,75,131,1.7466666666666666,Week 18
2020-08-15,72,110,1.5277777777777777,Week 19
2020-08-22,61,83,1.360655737704918,Week 20
2020-08-29,55,88,1.6,Week 21
2020-09-05,102,141,1.3823529411764706,Week 22
2020-09-12,36,71,1.9722222222222223,Week 23
2020-09-19,57,116,2.0350877192982457,Week 24
2020-09-26,59,108,1.8305084745762712,Week 25
