date,tweet_users_count,tweet_count,tweet_ratio,week
2022-01-10,949,1547,1.63013698630137,Week 1
2022-01-17,863,1463,1.6952491309385864,Week 2
2022-01-24,865,1436,1.6601156069364162,Week 3
2022-01-31,1342,2142,1.5961251862891208,Week 4
2022-02-07,1046,2005,1.9168260038240919,Week 5
2022-02-14,1327,2204,1.6608892238131123,Week 6
2022-02-21,865,1494,1.7271676300578034,Week 7
2022-02-28,1452,2434,1.6763085399449036,Week 8
2022-03-07,857,1475,1.721120186697783,Week 9
2022-03-14,773,1349,1.7451487710219922,Week 10
2022-03-21,732,1393,1.9030054644808743,Week 11
2022-03-28,1214,1993,1.64168039538715,Week 12
2022-04-04,766,1169,1.5261096605744124,Week 13
2022-04-11,635,1028,1.6188976377952755,Week 14
2022-04-18,618,1027,1.661812297734628,Week 15
2022-04-25,875,1326,1.5154285714285713,Week 16
2022-05-02,817,1284,1.5716034271725827,Week 17
2022-05-09,634,1040,1.640378548895899,Week 18
2022-05-16,554,959,1.7310469314079422,Week 19
2022-05-23,493,781,1.5841784989858012,Week 20
2022-05-30,957,1463,1.528735632183908,Week 21
2022-06-06,629,1091,1.7344992050874404,Week 22
2022-06-13,674,1156,1.71513353115727,Week 23
2022-06-20,575,888,1.5443478260869565,Week 24
2022-06-27,851,1273,1.4958871915393654,Week 25
