date,tweet_users_count,tweet_count,tweet_ratio,week
2021-01-07,1495,2342,1.5665551839464882,Week 1
2021-01-14,1049,1810,1.7254528122020973,Week 2
2021-01-21,1251,2122,1.6962430055955235,Week 3
2021-01-28,1165,2103,1.8051502145922746,Week 4
2021-02-04,1198,2042,1.7045075125208682,Week 5
2021-02-11,1153,1967,1.7059843885516046,Week 6
2021-02-18,1179,2273,1.927905004240882,Week 7
2021-02-25,901,1602,1.7780244173140956,Week 8
2021-03-04,1171,2120,1.8104184457728438,Week 9
2021-03-11,1019,2093,2.0539744847890087,Week 10
2021-03-18,907,1767,1.948180815876516,Week 11
2021-03-25,1044,2354,2.2547892720306515,Week 12
2021-04-01,1253,2582,2.0606544293695133,Week 13
2021-04-08,560,946,1.6892857142857143,Week 14
2021-04-15,164,366,2.231707317073171,Week 15
2021-04-22,392,817,2.0841836734693877,Week 16
2021-04-29,443,739,1.6681715575620768,Week 17
2021-05-06,373,678,1.8176943699731904,Week 18
2021-05-13,402,634,1.5771144278606966,Week 19
2021-05-20,441,774,1.7551020408163265,Week 20
2021-05-27,489,834,1.705521472392638,Week 21
2021-06-03,338,634,1.8757396449704142,Week 22
2021-06-10,261,451,1.7279693486590038,Week 23
2021-06-17,310,551,1.7774193548387096,Week 24
2021-06-24,231,351,1.5194805194805194,Week 25
2021-07-01,205,284,1.3853658536585365,Week 26
2021-07-08,157,261,1.6624203821656052,Week 27
