date,tweet_users_count,tweet_count,tweet_ratio,week
2022-04-05,424,748,1.7641509433962264,Week 1
2022-04-12,492,921,1.8719512195121952,Week 2
2022-04-19,556,958,1.723021582733813,Week 3
2022-04-26,520,1016,1.9538461538461538,Week 4
2022-05-03,546,976,1.7875457875457876,Week 5
2022-05-10,540,1010,1.8703703703703705,Week 6
2022-05-17,662,1061,1.6027190332326284,Week 7
2022-05-24,531,863,1.625235404896422,Week 8
2022-05-31,543,895,1.6482504604051564,Week 9
2022-06-07,528,794,1.503787878787879,Week 10
2022-06-14,579,972,1.6787564766839378,Week 11
2022-06-21,689,1189,1.725689404934688,Week 12
2022-06-28,207,246,1.1884057971014492,Week 13
2022-07-05,148,194,1.3108108108108107,Week 14
2022-07-12,99,128,1.292929292929293,Week 15
2022-07-19,98,122,1.2448979591836735,Week 16
2022-07-26,104,123,1.1826923076923077,Week 17
2022-08-02,65,82,1.2615384615384615,Week 18
2022-08-09,79,119,1.5063291139240507,Week 19
2022-08-16,64,85,1.328125,Week 20
2022-08-23,46,58,1.2608695652173914,Week 21
2022-08-30,129,188,1.4573643410852712,Week 22
2022-09-06,39,46,1.1794871794871795,Week 23
2022-09-13,31,33,1.064516129032258,Week 24
2022-09-20,33,35,1.0606060606060606,Week 25
