date,tweet_users_count,tweet_count,tweet_ratio,week
2020-01-05,1297,2166,1.6700077101002313,Week 1
2020-01-12,1189,2009,1.6896551724137931,Week 2
2020-01-19,994,1680,1.6901408450704225,Week 3
2020-01-26,800,1469,1.83625,Week 4
2020-02-02,955,1658,1.7361256544502617,Week 5
2020-02-09,4545,5463,1.201980198019802,Week 6
2020-02-16,2056,2740,1.3326848249027237,Week 7
2020-02-23,755,1201,1.590728476821192,Week 8
2020-03-01,811,1502,1.8520345252774353,Week 9
2020-03-08,696,1162,1.6695402298850575,Week 10
2020-03-15,728,1295,1.7788461538461537,Week 11
2020-03-22,705,1326,1.8808510638297873,Week 12
2020-03-29,1096,1945,1.7746350364963503,Week 13
2020-04-05,425,709,1.668235294117647,Week 14
2020-04-12,436,749,1.7178899082568808,Week 15
2020-04-19,405,630,1.5555555555555556,Week 16
2020-04-26,386,588,1.5233160621761659,Week 17
2020-05-03,480,778,1.6208333333333333,Week 18
2020-05-10,407,710,1.7444717444717446,Week 19
2020-05-17,568,934,1.6443661971830985,Week 20
2020-05-24,374,634,1.695187165775401,Week 21
2020-05-31,385,618,1.6051948051948053,Week 22
2020-06-07,453,755,1.6666666666666667,Week 23
2020-06-14,464,834,1.7974137931034482,Week 24
2020-06-21,296,480,1.6216216216216217,Week 25
2020-06-28,367,630,1.7166212534059946,Week 26
2020-07-05,483,800,1.6563146997929608,Week 27
