date,tweet_users_count,tweet_count,tweet_ratio,week
2020-04-05,250,472,1.888,Week 1
2020-04-12,255,513,2.011764705882353,Week 2
2020-04-19,304,558,1.8355263157894737,Week 3
2020-04-26,364,625,1.717032967032967,Week 4
2020-05-03,450,783,1.74,Week 5
2020-05-10,427,792,1.85480093676815,Week 6
2020-05-17,460,891,1.9369565217391305,Week 7
2020-05-24,401,753,1.8778054862842892,Week 8
2020-05-31,342,715,2.090643274853801,Week 9
2020-06-07,345,644,1.8666666666666667,Week 10
2020-06-14,427,855,2.002341920374707,Week 11
2020-06-21,522,897,1.7183908045977012,Week 12
2020-06-28,116,174,1.5,Week 13
2020-07-05,63,82,1.3015873015873016,Week 14
2020-07-12,62,89,1.435483870967742,Week 15
2020-07-19,48,78,1.625,Week 16
2020-07-26,46,61,1.326086956521739,Week 17
2020-08-02,36,50,1.3888888888888888,Week 18
2020-08-09,39,52,1.3333333333333333,Week 19
2020-08-16,43,55,1.2790697674418605,Week 20
2020-08-23,36,50,1.3888888888888888,Week 21
2020-08-30,22,27,1.2272727272727273,Week 22
2020-09-06,50,63,1.26,Week 23
2020-09-13,39,46,1.1794871794871795,Week 24
2020-09-20,48,63,1.3125,Week 25
