date,tweet_users_count,tweet_count,tweet_ratio,week
2023-01-05,575,1316,2.2886956521739132,Week 1
2023-01-12,655,1341,2.047328244274809,Week 2
2023-01-19,596,1267,2.1258389261744965,Week 3
2023-01-26,600,1272,2.12,Week 4
2023-02-02,564,1249,2.2145390070921986,Week 5
2023-02-09,697,1500,2.152080344332855,Week 6
2023-02-16,605,1279,2.1140495867768596,Week 7
2023-02-23,523,1218,2.3288718929254304,Week 8
2023-03-02,727,1576,2.1678129298486932,Week 9
2023-03-09,531,1262,2.376647834274953,Week 10
2023-03-16,682,1493,2.189149560117302,Week 11
2023-03-23,970,2254,2.3237113402061857,Week 12
2023-03-30,454,777,1.7114537444933922,Week 13
2023-04-06,348,616,1.7701149425287357,Week 14
2023-04-13,335,658,1.964179104477612,Week 15
2023-04-20,443,796,1.7968397291196387,Week 16
2023-04-27,289,622,2.152249134948097,Week 17
2023-05-04,306,598,1.9542483660130718,Week 18
2023-05-11,254,473,1.8622047244094488,Week 19
2023-05-18,221,424,1.918552036199095,Week 20
2023-05-25,242,479,1.9793388429752066,Week 21
2023-06-01,196,377,1.9234693877551021,Week 22
2023-06-08,189,348,1.8412698412698412,Week 23
2023-06-15,285,466,1.6350877192982456,Week 24
2023-06-22,230,412,1.791304347826087,Week 25
