date,tweet_users_count,tweet_count,tweet_ratio,week
2022-04-02,1433,3532,2.4647592463363575,Week 1
2022-04-09,911,2141,2.350164654226125,Week 2
2022-04-16,1386,3156,2.277056277056277,Week 3
2022-04-23,877,2183,2.489167616875713,Week 4
2022-04-30,1415,3757,2.655123674911661,Week 5
2022-05-07,1265,3272,2.5865612648221346,Week 6
2022-05-14,900,2348,2.608888888888889,Week 7
2022-05-21,962,2562,2.6632016632016633,Week 8
2022-05-28,1081,2631,2.4338575393154485,Week 9
2022-06-04,1599,3851,2.4083802376485304,Week 10
2022-06-11,1154,2756,2.388214904679376,Week 11
2022-06-18,901,2595,2.8801331853496115,Week 12
2022-06-25,1539,3744,2.4327485380116958,Week 13
2022-07-02,553,1142,2.065099457504521,Week 14
2022-07-09,1023,1989,1.9442815249266863,Week 15
2022-07-16,2096,4540,2.1660305343511452,Week 16
2022-07-23,1222,2858,2.3387888707037643,Week 17
2022-07-30,1651,5196,3.147183525136281,Week 18
2022-08-06,1560,4491,2.878846153846154,Week 19
2022-08-13,1090,2618,2.401834862385321,Week 20
2022-08-20,1308,3111,2.378440366972477,Week 21
2022-08-27,1445,3476,2.405536332179931,Week 22
2022-09-03,690,1633,2.3666666666666667,Week 23
2022-09-10,1404,3530,2.5142450142450143,Week 24
2022-09-17,1434,3497,2.4386331938633194,Week 25
2022-09-24,1389,3573,2.572354211663067,Week 26
2022-10-01,1347,3227,2.3956941351150705,Week 27
