date,tweet_users_count,tweet_count,tweet_ratio,week
2022-10-12,4988,7066,1.416599839615076,Week 1
2022-10-19,3610,5089,1.4096952908587257,Week 2
2022-10-26,4182,5758,1.376853180296509,Week 3
2022-11-02,4031,5535,1.373108409823865,Week 4
2022-11-09,3453,4808,1.3924123950188243,Week 5
2022-11-16,3011,4387,1.456991032879442,Week 6
2022-11-23,2961,4311,1.4559270516717324,Week 7
2022-11-30,2699,3972,1.4716561689514636,Week 8
2022-12-07,2672,3967,1.4846556886227544,Week 9
2022-12-14,2190,3430,1.5662100456621004,Week 10
2022-12-21,2392,3710,1.5510033444816054,Week 11
2022-12-28,2521,3688,1.4629115430384767,Week 12
2023-01-04,1514,2135,1.4101717305151915,Week 13
2023-01-11,1230,1732,1.408130081300813,Week 14
2023-01-18,1044,1446,1.3850574712643677,Week 15
2023-01-25,832,1260,1.5144230769230769,Week 16
2023-02-01,905,1337,1.4773480662983425,Week 17
2023-02-08,774,1218,1.573643410852713,Week 18
2023-02-15,825,1244,1.5078787878787878,Week 19
2023-02-22,700,1026,1.4657142857142857,Week 20
2023-03-01,610,964,1.580327868852459,Week 21
2023-03-08,466,630,1.351931330472103,Week 22
2023-03-15,669,984,1.4708520179372198,Week 23
2023-03-22,570,871,1.5280701754385966,Week 24
2023-03-29,650,986,1.5169230769230768,Week 25
