date,tweet_users_count,tweet_count,tweet_ratio,week
2020-07-11,434,843,1.9423963133640554,Week 1
2020-07-18,369,718,1.9457994579945799,Week 2
2020-07-25,430,787,1.830232558139535,Week 3
2020-08-01,333,663,1.990990990990991,Week 4
2020-08-08,363,782,2.1542699724517904,Week 5
2020-08-15,462,918,1.9870129870129871,Week 6
2020-08-22,721,1280,1.7753120665742026,Week 7
2020-08-29,367,743,2.024523160762943,Week 8
2020-09-05,392,762,1.9438775510204083,Week 9
2020-09-12,328,624,1.9024390243902438,Week 10
2020-09-19,412,860,2.087378640776699,Week 11
2020-09-26,503,972,1.9324055666003976,Week 12
2020-10-03,145,196,1.3517241379310345,Week 13
2020-10-10,139,195,1.4028776978417266,Week 14
2020-10-17,119,183,1.5378151260504203,Week 15
2020-10-24,140,180,1.2857142857142858,Week 16
2020-10-31,78,96,1.2307692307692308,Week 17
2020-11-07,165,206,1.2484848484848485,Week 18
2020-11-14,75,102,1.36,Week 19
2020-11-21,93,114,1.2258064516129032,Week 20
2020-11-28,76,95,1.25,Week 21
2020-12-05,73,104,1.4246575342465753,Week 22
2020-12-12,67,90,1.3432835820895523,Week 23
2020-12-19,100,150,1.5,Week 24
2020-12-26,71,100,1.408450704225352,Week 25
