date,tweet_users_count,tweet_count,tweet_ratio,week
2020-01-11,499,1049,2.1022044088176353,Week 1
2020-01-18,299,640,2.140468227424749,Week 2
2020-01-25,404,799,1.9777227722772277,Week 3
2020-02-01,411,723,1.7591240875912408,Week 4
2020-02-08,393,742,1.8880407124681935,Week 5
2020-02-15,329,642,1.9513677811550152,Week 6
2020-02-22,525,964,1.8361904761904762,Week 7
2020-02-29,412,790,1.9174757281553398,Week 8
2020-03-07,470,834,1.774468085106383,Week 9
2020-03-14,369,676,1.8319783197831978,Week 10
2020-03-21,374,810,2.165775401069519,Week 11
2020-03-28,403,756,1.8759305210918114,Week 12
2020-04-04,259,479,1.8494208494208495,Week 13
2020-04-11,174,306,1.7586206896551724,Week 14
2020-04-18,162,318,1.962962962962963,Week 15
2020-04-25,256,458,1.7890625,Week 16
2020-05-02,157,306,1.9490445859872612,Week 17
2020-05-09,291,514,1.7663230240549828,Week 18
2020-05-16,316,555,1.7563291139240507,Week 19
2020-05-23,416,639,1.5360576923076923,Week 20
2020-05-30,227,407,1.7929515418502202,Week 21
2020-06-06,212,377,1.778301886792453,Week 22
2020-06-13,195,363,1.8615384615384616,Week 23
2020-06-20,266,410,1.5413533834586466,Week 24
2020-06-27,156,281,1.8012820512820513,Week 25
