date,tweet_users_count,tweet_count,tweet_ratio,week
2021-01-10,681,1086,1.5947136563876652,Week 1
2021-01-17,401,623,1.5536159600997506,Week 2
2021-01-24,562,910,1.6192170818505338,Week 3
2021-01-31,1176,1717,1.4600340136054422,Week 4
2021-02-07,652,934,1.4325153374233128,Week 5
2021-02-14,399,555,1.3909774436090225,Week 6
2021-02-21,428,664,1.5514018691588785,Week 7
2021-02-28,461,809,1.754880694143167,Week 8
2021-03-07,403,636,1.5781637717121588,Week 9
2021-03-14,404,707,1.75,Week 10
2021-03-21,373,637,1.707774798927614,Week 11
2021-03-28,337,600,1.7804154302670623,Week 12
2021-04-04,396,692,1.7474747474747474,Week 13
2021-04-11,82,112,1.3658536585365855,Week 14
2021-04-18,86,141,1.6395348837209303,Week 15
2021-04-25,181,311,1.718232044198895,Week 16
2021-05-02,139,219,1.5755395683453237,Week 17
2021-05-09,94,155,1.648936170212766,Week 18
2021-05-16,86,133,1.5465116279069768,Week 19
2021-05-23,122,162,1.3278688524590163,Week 20
2021-05-30,124,180,1.4516129032258065,Week 21
2021-06-06,127,157,1.236220472440945,Week 22
2021-06-13,104,138,1.3269230769230769,Week 23
2021-06-20,81,105,1.2962962962962963,Week 24
2021-06-27,121,177,1.462809917355372,Week 25
2021-07-04,100,130,1.3,Week 26
2021-07-11,117,157,1.3418803418803418,Week 27
