date,tweet_users_count,tweet_count,tweet_ratio,week
2021-10-04,504,867,1.7202380952380953,Week 1
2021-10-11,427,693,1.6229508196721312,Week 2
2021-10-18,424,705,1.6627358490566038,Week 3
2021-10-25,395,662,1.6759493670886076,Week 4
2021-11-01,491,802,1.6334012219959266,Week 5
2021-11-08,567,1060,1.8694885361552027,Week 6
2021-11-15,457,760,1.663019693654267,Week 7
2021-11-22,423,768,1.8156028368794326,Week 8
2021-11-29,547,1024,1.8720292504570384,Week 9
2021-12-06,650,1068,1.643076923076923,Week 10
2021-12-13,674,1116,1.655786350148368,Week 11
2021-12-20,646,1087,1.6826625386996905,Week 12
2021-12-27,211,339,1.6066350710900474,Week 13
2022-01-03,131,207,1.5801526717557253,Week 14
2022-01-10,136,229,1.6838235294117647,Week 15
2022-01-17,130,212,1.6307692307692307,Week 16
2022-01-24,116,195,1.6810344827586208,Week 17
2022-01-31,108,171,1.5833333333333333,Week 18
2022-02-07,110,173,1.5727272727272728,Week 19
2022-02-14,117,202,1.7264957264957266,Week 20
2022-02-21,114,183,1.605263157894737,Week 21
2022-02-28,193,302,1.5647668393782384,Week 22
2022-03-07,135,219,1.6222222222222222,Week 23
2022-03-14,107,175,1.6355140186915889,Week 24
2022-03-21,98,157,1.6020408163265305,Week 25
