date,tweet_users_count,tweet_count,tweet_ratio,week
2020-01-10,481,735,1.528066528066528,Week 1
2020-01-17,337,534,1.5845697329376855,Week 2
2020-01-24,307,489,1.5928338762214984,Week 3
2020-01-31,297,499,1.6801346801346801,Week 4
2020-02-07,474,758,1.59915611814346,Week 5
2020-02-14,360,569,1.5805555555555555,Week 6
2020-02-21,281,510,1.8149466192170818,Week 7
2020-02-28,285,504,1.768421052631579,Week 8
2020-03-06,291,491,1.6872852233676976,Week 9
2020-03-13,351,597,1.7008547008547008,Week 10
2020-03-20,316,527,1.6677215189873418,Week 11
2020-03-27,444,818,1.8423423423423424,Week 12
2020-04-03,103,155,1.5048543689320388,Week 13
2020-04-10,113,162,1.4336283185840708,Week 14
2020-04-17,66,117,1.7727272727272727,Week 15
2020-04-24,118,238,2.016949152542373,Week 16
2020-05-01,80,121,1.5125,Week 17
2020-05-08,46,56,1.2173913043478262,Week 18
2020-05-15,67,92,1.373134328358209,Week 19
2020-05-22,64,82,1.28125,Week 20
2020-05-29,45,69,1.5333333333333334,Week 21
2020-06-05,31,45,1.4516129032258065,Week 22
2020-06-12,31,43,1.3870967741935485,Week 23
2020-06-19,31,38,1.2258064516129032,Week 24
2020-06-26,39,53,1.358974358974359,Week 25
