	season_number	放送期間	放送時間	シーズン名
0	0	['2022年10月2日', '2023年1月8日']	['17:00', '17:30']	日本国内 テレビ /  Season1 放送期間および放送時間[2]
1	1	['2023年4月9日']	['17:00', '17:30']	日本国内 テレビ /  Season2 放送期間および放送時間[3]
