期間,時間,放送局,"対象地域・備考
[100]",タイプ,配信サイト,開始,終了
2022年4月9日 - 6月25日,土曜 23:00 - 23:30,テレビ東京（製作参加）ほか系列全6局,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,放送,,2022-04-09,2022-06-25
2022年4月11日 - 6月27日,月曜 0:35 - 1:05（日曜深夜）,BSテレ東,BS/BS4K放送[101],放送,,2022-04-11,2022-06-27
2022年4月11日 - 6月27日,月曜 22:00 - 22:30,AT-X,CS放送 / リピート放送あり[102],放送,,2022-04-11,2022-06-27
2022年4月12日 - 6月28日,火曜 1:45 - 2:15（月曜深夜）,新潟テレビ21,新潟県[101],放送,,2022-04-12,2022-06-28
2022年4月12日 - 6月28日,火曜 2:00 - 2:30（月曜深夜）,テレビ静岡,静岡県[101],放送,,2022-04-12,2022-06-28
2022年4月13日 - 6月29日,水曜 1:00 - 1:30（火曜深夜）,東北放送,宮城県 / 『寝られなアニメ』枠[103],放送,,2022-04-13,2022-06-29
2022年4月14日 - 6月30日,木曜 1:25 - 1:55（水曜深夜）,中国放送,広島県[101],放送,,2022-04-14,2022-06-30
2022年4月23日 - 7月9日,土曜 1:55 - 2:25（金曜深夜）,テレビユー福島,福島県[104],放送,,2022-04-23,2022-07-09
2022年4月25日 - 7月18日,月曜 0:50 - 1:20（日曜深夜）,テレビ山梨,山梨県 / 『にちようスクエア』枠[103],放送,,2022-04-25,2022-07-18
2022年4月29日 - 7月15日,金曜 0:35 - 1:05（木曜深夜）,テレビ和歌山,和歌山県[104],放送,,2022-04-29,2022-07-15
2022年5月3日 - 7月19日,火曜 0:55 - 1:25（月曜深夜）,南日本放送,鹿児島県[105],放送,,2022-05-03,2022-07-19
2022年5月7日 - 7月30日,土曜 20:30 - 21:00,アニマックス,BS/CS放送[106],放送,,2022-05-07,2022-07-30
2022年5月7日 - 8月13日,土曜 16:00 - 16:30,長野朝日放送,長野県 / [注 12][103],放送,,2022-05-07,2022-08-13
2022年5月9日 - 8月1日,月曜 1:30 - 2:00（日曜深夜）,びわ湖放送,滋賀県[108],放送,,2022-05-09,2022-08-01
2022年5月22日 - 8月7日,日曜 1:28 - 1:58（土曜深夜）,長崎放送,長崎県[105],放送,,2022-05-22,2022-08-07
2022年6月4日 - 8月20日,土曜 1:55 - 2:25（金曜深夜）,山陰放送,鳥取県・島根県 / 『森谷佳奈のアニ物語』枠[104],放送,,2022-06-04,2022-08-20
2022年6月11日 - 9月3日,土曜 1:55 - 2:25（金曜深夜）,IBC岩手放送,岩手県[104],放送,,2022-06-11,2022-09-03
2022年4月9日,土曜 23:30 更新,,,配信,ABEMAビデオ（ABEMAプレミアム）,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,Amazon Prime Video,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,Disney+,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,dTV,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,dアニメストア（本店・ニコニコ支店[113]・for Prime Video）,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,FOD,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,Hulu,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,J:COMオンデマンド,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,milplus,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,Netflix,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,Paravi,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,TELASA,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,auスマートパスプレミアム,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,U-NEXT,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,アニメカ,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,アニメタイムズ,2022-04-09,
2022年4月9日,土曜 23:30 更新,,,配信,アニメ放題,2022-04-09,
