期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年10月9日 - 12月25日,土曜 0:00 - 0:30（金曜深夜）,TOKYO MX,東京都,製作参加,放送,,2021-10-09,2021-12-25
2021年10月9日 - 12月25日,土曜 0:00 - 0:30（金曜深夜）,とちぎテレビ,栃木県,,放送,,2021-10-09,2021-12-25
2021年10月9日 - 12月25日,土曜 0:00 - 0:30（金曜深夜）,群馬テレビ,群馬県,,放送,,2021-10-09,2021-12-25
2021年10月9日 - 12月25日,土曜 0:00 - 0:30（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2021-10-09,2021-12-25
2021年10月10日 - 12月26日,日曜 2:30 - 3:00（土曜深夜）,メ〜テレ,中京広域圏,,放送,,2021-10-10,2021-12-26
2021年10月10日 - 12月26日,日曜 2:30 - 3:00（土曜深夜）,朝日放送テレビ,近畿広域圏,『ANiMAZiNG2!!!』枠,放送,,2021-10-10,2021-12-26
2021年10月14日 - 12月30日,木曜 0:30 - 1:00（水曜深夜）,WOWOWプライム,日本全域,製作参加 / BS/CS放送 / 『アニメプライム』枠,放送,,2021-10-14,2021-12-30
2021年11月6日 -,土曜 20:30 - 21:00,アニマックス,日本全域,BS/CS放送,放送,,2021-11-06,
2021年10月9日,土曜 0:00 - 0:30（日曜深夜）,,,,配信,ABEMA,2021-10-09,
2021年10月12日,火曜 12:00 更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,FOD,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,U-NEXT,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,アニメ放題,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,バンダイチャンネル,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,Hulu,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,TSUTAYA TV,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,ビデオマーケット,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,DMM.com,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,music.jp,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,ひかりTV,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,ニコニコチャンネル,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,GYAO!,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,Amazon Prime Video,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,TELASA,2021-10-12,
2021年10月12日,火曜 12:00 更新,,,,配信,J:COMオンデマンド メガパック,2021-10-12,
2021年10月12日,火曜 23:00 - 23:30,,,,配信,ニコニコ生放送,2021-10-12,
