期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2018年4月9日 - 6月25日,月曜 23:00 - 23:30,TOKYO MX,東京都,製作参加,放送,2018-04-09,2018-06-25
2018年4月10日 - 6月26日,火曜 1:00 - 1:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2018-04-10,2018-06-26
2018年4月10日 - 6月26日,火曜 1:44 - 2:14（月曜深夜）,札幌テレビ,北海道,,放送,2018-04-10,2018-06-26
2018年4月10日 - 6月26日,火曜 1:59 - 2:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第1部,放送,2018-04-10,2018-06-26
2018年4月14日 - 6月30日,土曜 1:00 - 1:30（金曜深夜）,時代劇専門チャンネル,日本全域,CS放送 / 『時専S40』枠 / 字幕放送[129],放送,2018-04-14,2018-06-30
2018年10月8日 - 12月24日,月曜 23:00 - 23:30,TOKYO MX,東京都,製作参加,放送,2018-10-08,2018-12-24
2018年10月9日 - 12月25日,火曜 1:00 - 1:30（月曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2018-10-09,2018-12-25
2018年10月9日 - 12月25日,火曜 1:44 - 2:14（月曜深夜）,札幌テレビ,北海道,,放送,2018-10-09,2018-12-25
2018年10月9日 - 12月25日,火曜 1:59 - 2:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第1部,放送,2018-10-09,2018-12-25
2018年10月13日 - 12月29日,土曜 2:00 - 2:30（金曜深夜）,時代劇専門チャンネル,日本全域,CS放送 / 『時専シンヤ』枠 / 字幕放送,放送,2018-10-13,2018-12-29
2020年10月5日 - 12月21日,月曜 23:00 - 23:30,TOKYO MX,東京都,製作参加,放送,2020-10-05,2020-12-21
2020年10月5日 - 12月21日,月曜 23:00 - 23:30,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2020-10-05,2020-12-21
2020年10月6日 - 12月22日,火曜 1:44 - 2:14（月曜深夜）,札幌テレビ,北海道,データ放送,放送,2020-10-06,2020-12-22
2020年10月6日 - 12月22日,火曜 1:59 - 2:29（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第1部,放送,2020-10-06,2020-12-22
2020年10月11日 - 12月27日,日曜 1:00 - 1:30（土曜深夜）,時代劇専門チャンネル,日本全域,CS放送,放送,2020-10-11,2020-12-27
2022年10月3日 - 11月7日,月曜 23:00 - 23:30,TOKYO MX,東京都,,放送,2022-10-03,2022-11-07
2022年10月3日 - 11月7日,月曜 23:00 - 23:30,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-10-03,2022-11-07
2022年10月4日 -,火曜 1:26 - 1:56（月曜深夜）,北海道放送,北海道,,放送,2022-10-04,
2022年10月4日 -,火曜 2:15 - 2:39（月曜深夜）,読売テレビ,近畿広域圏,『MANPA』第2部,放送,2022-10-04,
2022年10月7日 -,金曜 23:30 - 土曜 0:00,チャンネルNECO,日本全域,CS放送,放送,2022-10-07,
