期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年8月4日 - 9月22日,木曜 1:00 - 1:05（水曜深夜）,TOKYO MX,東京都,,放送,2022-08-04,2022-09-22
2022年8月4日 - 9月22日,木曜 22:05 - 22:10,AT-X,日本全域,CS放送 / リピート放送あり,放送,2022-08-04,2022-09-22
