期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年1月7日 - 3月31日,火曜 23:00 - 23:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2020-01-07,2020-03-31
2020年1月8日 - 4月1日,水曜 0:30 - 1:00（火曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2020-01-08,2020-04-01
2020年1月8日 - 4月1日,水曜 22:00 - 22:30,TOKYO MX,東京都,,放送,2020-01-08,2020-04-01
2020年1月9日 - 4月2日,木曜 0:00 - 0:30（水曜深夜）,WOWOW,日本全域,製作参加 / BS/CS放送 / 『アニメプライム』枠,放送,2020-01-09,2020-04-02
2021年1月20日 - 3月31日,水曜 21:00 - 21:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2021-01-20,2021-03-31
2021年1月20日 - 3月31日,水曜 22:00 - 22:30,TOKYO MX,東京都,,放送,2021-01-20,2021-03-31
2021年1月21日 - 4月1日,木曜 0:00 - 0:30（水曜深夜）,WOWOW,日本全域,製作参加 / BS/CS放送 / 『アニメプライム』枠 / 全話無料放送,放送,2021-01-21,2021-04-01
2021年1月22日 - 4月2日,金曜 0:30 - 1:00（木曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2021-01-22,2021-04-02
2023年1月18日 - 4月5日,水曜 20:30 - 21:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,2023-01-18,2023-04-05
2023年1月18日 - 4月5日,水曜 22:00 - 22:30,TOKYO MX,東京都,,放送,2023-01-18,2023-04-05
2023年1月19日 - 4月6日,木曜 0:00 - 0:30（水曜深夜）,WOWOW,日本全域,製作参加 / BS/CS放送 / 『アニメプライム』枠 / 全話無料放送,放送,2023-01-19,2023-04-06
2023年1月20日 - 4月7日,金曜 0:30 - 1:00（木曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2023-01-20,2023-04-07
