期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2021年4月9日 - 2023年3月31日,金曜 18:25 - 18:55,テレビ東京,関東広域圏,製作局,放送,2021-04-09,2023-03-31
2021年4月9日 - 2023年3月31日,金曜 18:25 - 18:55,テレビ北海道,北海道,,放送,2021-04-09,2023-03-31
2021年4月9日 - 2023年3月31日,金曜 18:25 - 18:55,テレビ愛知,愛知県,,放送,2021-04-09,2023-03-31
2021年4月9日 - 2023年3月31日,金曜 18:25 - 18:55,テレビ大阪,大阪府,,放送,2021-04-09,2023-03-31
2021年4月9日 - 2023年3月31日,金曜 18:25 - 18:55,テレビせとうち,岡山県・香川県,,放送,2021-04-09,2023-03-31
2021年4月9日 - 2023年3月31日,金曜 18:25 - 18:55,TVQ九州放送,福岡県,,放送,2021-04-09,2023-03-31
2021年4月10日 - 2022年3月26日,土曜 7:00 - 7:30,BSテレ東,日本全域,BS/BS4K放送 / 第48話で打ち切り,放送,2021-04-10,2022-03-26
2021年4月22日 - 2023年4月13日,木曜 17:00 - 17:30,テレビ和歌山,和歌山県,,放送,2021-04-22,2023-04-13
2021年4月23日 - 2023年4月14日,金曜 17:25 - 17:55,びわ湖放送,滋賀県,,放送,2021-04-23,2023-04-14
2021年4月25日 - 2022年4月24日,日曜 11:00 - 11:30[6],長崎放送,長崎県,第50話で打ち切り,放送,2021-04-25,2022-04-24
2021年4月30日 - 2023年4月21日,金曜 18:25 - 18:53,岐阜放送,岐阜県,テレビ東京系列との同時刻ではあるが遅れネット,放送,2021-04-30,2023-04-21
2021年6月5日 - 2023年5月20日,土曜 17:30 - 18:00,キッズステーション,日本全域,CS放送,放送,2021-06-05,2023-05-20
2021年7月19日 - 2022年6月27日2022年7月29日 - 2023年6月30日（予定）,月曜 20:00 - 20:30金曜 20:30 - 21:00,AT-X,日本全域,CS放送 / リピート放送あり[7],放送,2021-07-19,2022-06-27
2021年8月4日 - 2022年1月26日2022年2月1日 -,水曜 8:00 - 8:30火曜 7:30 - 7:59,奈良テレビ,奈良県,,放送,2021-08-04,2022-01-26
2021年8月29日 - 2023年5月28日2023年6月4日 -,日曜 5:15 - 5:45日曜 5:15 - 6:15,テレビユー山形,山形県,2023年6月4日から日曜 5:15 - 6:15に2話連続放送,放送,2021-08-29,2023-05-28
2021年9月5日 -,日曜 6:30 - 7:00,福島中央テレビ,福島県,,放送,2021-09-05,
2021年10月29日 -,金曜 17:00 - 17:30,三重テレビ,三重県,,放送,2021-10-29,
2021年12月12日 -,日曜 6:15 - 6:45,信越放送,長野県,,放送,2021-12-12,
