期間,時間,配信サイト,タイプ,放送局,対象地域,備考,開始,終了
2019年7月12日,金曜 23:30 - 土曜 0:00,AbemaTV,配信,,,,2019-07-12,
2019年7月19日,金曜 12:00 更新,バンダイチャンネル,配信,,,,2019-07-19,
2019年7月20日,土曜 0:00 更新,あにてれ,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,Amazon Prime Video,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,FOD,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,GYAO!,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,クランクイン！ビデオ,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,アニメ放題,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,TSUTAYA TV,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,dアニメストア,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,DMM.com,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,ニコニコチャンネル,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,ひかりTV,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,ビデオマーケット,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,U-NEXT,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 更新,Rakuten TV,配信,,,,2019-07-20,
2019年7月20日,土曜 0:00 - 0:30,ニコニコ生放送,配信,,,,2019-07-20,
2019年7月21日,日曜 0:00 更新,ビデオパス,配信,,,,2019-07-21,
2022年4月8日 - 7月1日,金曜 1:28 - 1:58（木曜深夜）,,放送,TBSテレビ,関東広域圏,製作参加 / 字幕放送,2022-04-08,2022-07-01
2022年4月8日 - 7月1日,金曜 23:30 - 土曜 0:00,,放送,BS11,日本全域,製作参加 / BS放送 /『ANIME+』枠,2022-04-08,2022-07-01
2022年4月9日 - 7月2日,土曜 2:25 - 2:55（金曜深夜）,,放送,熊本放送,熊本県,字幕放送,2022-04-09,2022-07-02
2022年4月12日 -,火曜 21:30 - 22:00,,放送,AT-X,日本全域,CS放送 / 字幕放送[227] / リピート放送あり,2022-04-12,
2022年4月17日 -,日曜 1:00 - 1:30（土曜深夜）,,放送,TBSチャンネル1,日本全域,CS放送[228],2022-04-17,
2022年4月8日,金曜 12:00 更新,ニコニコチャンネル,配信,,,,2022-04-08,
2022年4月8日,金曜 22:00 - 22:30,ニコニコ生放送,配信,,,,2022-04-08,
2022年4月11日,月曜 12:00 更新,dアニメストア,配信,,,,2022-04-11,
2022年4月15日,金曜 0:00（木曜深夜） 更新,ABEMAビデオ,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,Amazon Prime Video,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,dTV,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,バンダイチャンネル,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,TELASA,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,Hulu,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,U-NEXT,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,ひかりTV,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,FOD,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,Rakuten TV,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,ビデオマーケット,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,GYAO!ストア,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,DMM.com,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00（木曜深夜） 更新,GYAO!,配信,,,,2022-04-15,
2022年4月15日,金曜 0:00 - 0:30（木曜深夜）,ABEMA[229],配信,,,,2022-04-15,
