期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年1月10日 - 3月28日,月曜 0:30 - 1:00（日曜深夜）,TOKYO MX,東京都,,放送,2022-01-10,2022-03-28
2022年1月10日 - 3月28日,月曜 0:45 - 1:15（日曜深夜）,KBS京都,京都府,,放送,2022-01-10,2022-03-28
2022年1月10日 - 3月28日,月曜 1:00 - 1:30（日曜深夜）,サンテレビ,兵庫県,,放送,2022-01-10,2022-03-28
2022年1月10日 - 3月28日,月曜 1:35 - 2:05（日曜深夜）,テレビ愛知,愛知県,製作参加,放送,2022-01-10,2022-03-28
2022年1月11日 - 3月29日,火曜 0:00 - 0:30（月曜深夜）,BS日テレ,日本全域,製作参加 / BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,2022-01-11,2022-03-29
2022年1月11日 - 3月29日,火曜 22:00 - 22:30,AT-X,日本全域,CS放送 / 字幕放送[40] / リピート放送あり,放送,2022-01-11,2022-03-29
