期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年4月3日 - 6月19日,土曜 1:23 - 1:53（金曜深夜）,テレビ東京,東京都,製作参加,放送,,2021-04-03,2021-06-19
2021年4月3日 - 6月19日,土曜 2:05 - 2:35（金曜深夜）,テレビ愛知,愛知県,,放送,,2021-04-03,2021-06-19
2021年4月3日 - 6月19日,土曜 2:10 - 2:40（金曜深夜）,テレビ大阪,大阪府,,放送,,2021-04-03,2021-06-19
2021年4月4日 - 6月20日,日曜 22:30 - 23:00,AT-X,日本全域,CS放送 / 字幕放送[43] / リピート放送あり,放送,,2021-04-04,2021-06-20
2021年4月23日 -,金曜 1:18 - 1:48（木曜深夜）,長崎文化放送,長崎県,『あに。』枠,放送,,2021-04-23,
2021年4月3日,土曜 12:00 更新,,,,配信,Paravi,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,Hulu,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,ビデオマーケット,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,music.jp,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,DMM.com,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,GYAO!ストア,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,HAPPY!動画,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,Rakuten TV,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,J:COMオンデマンド,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,TELASA,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,みるプラス,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,ニコニコチャンネル,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,ひかりTV,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,Google Play,2021-04-03,
2021年4月3日,土曜 12:00 更新,,,,配信,Amazon Prime Video,2021-04-03,
2021年4月6日,火曜 12:00 更新,,,,配信,バンダイチャンネル,2021-04-06,
2021年4月6日,火曜 12:00 更新,,,,配信,ムービーフルplus,2021-04-06,
2021年4月6日,火曜 12:00 更新,,,,配信,dTV,2021-04-06,
2021年4月6日,火曜 12:00 更新,,,,配信,U-NEXT,2021-04-06,
2021年4月6日,火曜 12:00 更新,,,,配信,dアニメストア,2021-04-06,
2021年4月6日,火曜 12:00 更新,,,,配信,Netflix,2021-04-06,
2021年4月6日,火曜 19:00 更新,,,,配信,TSUTAYA TV,2021-04-06,
2021年4月15日,木曜 12:00 更新,,,,配信,ふらっと動画,2021-04-15,
