期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年4月11日 - 7月4日,日曜 0:30 - 0:57（土曜深夜）,TOKYO MX,東京都,製作局,放送,,2021-04-11,2021-07-04
2021年4月11日 - 7月4日,日曜 0:30 - 0:57（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2021-04-11,2021-07-04
2021年4月11日 - 7月4日,日曜 0:30 - 0:57（土曜深夜）,群馬テレビ,群馬県,,放送,,2021-04-11,2021-07-04
2021年4月11日 - 7月4日,日曜 0:30 - 0:57（土曜深夜）,とちぎテレビ,栃木県,,放送,,2021-04-11,2021-07-04
2021年4月11日 - 7月4日,日曜 3:38 - 4:08（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第4部,放送,,2021-04-11,2021-07-04
2021年4月11日 - 7月4日,日曜 23:30 - 月曜 0:00,BS朝日,日本全域,製作局 / BS/BS4K放送 / 『アニメA』枠,放送,,2021-04-11,2021-07-04
2021年4月13日 - 7月6日,火曜 21:30 - 22:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,,2021-04-13,2021-07-06
2021年4月15日 - 7月8日,木曜 0:30 - 1:00（水曜深夜）,WOWOW,日本全域,製作局 / BS/CS放送 / 『アニメプライム』枠,放送,,2021-04-15,2021-07-08
2021年4月16日 - 7月9日,金曜 1:25 - 1:55（木曜深夜）,福島テレビ,福島県,,放送,,2021-04-16,2021-07-09
2021年6月30日 - 9月22日,水曜 1:00 - 1:30（火曜深夜）,東北放送,宮城県,『寝られなアニメ』枠,放送,,2021-06-30,2021-09-22
2021年4月11日,日曜 1:00（土曜深夜） 更新,,,,配信,Amazon Prime Video,2021-04-11,
2021年4月13日,火曜 12:00 更新,,,,配信,dアニメストア（本店・for Prime Video）,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,ニコニコチャンネル,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,GYAO!,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,バンダイチャンネル,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,Hulu,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,J:COMオンデマンド,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,TELASA,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,ビデオマーケット,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,music.jp,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,ひかりTV,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,FOD,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,U-NEXT,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,アニメ放題,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,MBS動画イズム,2021-04-13,
2021年4月13日,火曜 12:00 更新,,,,配信,TVer,2021-04-13,
2021年4月13日,火曜 22:30 - 23:00,,,,配信,ABEMA,2021-04-13,
2021年4月13日,火曜 23:00 - 23:30,,,,配信,ニコニコ生放送,2021-04-13,
2022年7月9日 - 9月24日,土曜 0:00 - 0:30（金曜深夜）,TOKYO MX,東京都,製作局,放送,,2022-07-09,2022-09-24
2022年7月9日 - 9月24日,土曜 0:00 - 0:30（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2022-07-09,2022-09-24
2022年7月9日 - 9月24日,土曜 0:00 - 0:30（金曜深夜）,群馬テレビ,群馬県,,放送,,2022-07-09,2022-09-24
2022年7月9日 - 9月24日,土曜 0:00 - 0:30（金曜深夜）,とちぎテレビ,栃木県,,放送,,2022-07-09,2022-09-24
2022年7月10日 - 9月25日,日曜 2:08 - 2:38（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第1部,放送,,2022-07-10,2022-09-25
2022年7月10日 - 9月25日,日曜 23:30 - 月曜 0:00,BS朝日,日本全域,製作局 / BS/BS4K放送 / 『アニメA』枠,放送,,2022-07-10,2022-09-25
2022年7月12日 - 9月27日,火曜 21:00 - 21:30,AT-X,日本全域,CS放送 / 字幕放送[40] / リピート放送あり,放送,,2022-07-12,2022-09-27
2022年7月14日 - 9月29日,木曜 0:00 - 0:30（水曜深夜）,WOWOW,日本全域,製作局 / BS/CS放送 / 『アニメプライム』枠,放送,,2022-07-14,2022-09-29
2022年7月14日 - 9月29日,木曜 2:25 - 2:55（水曜深夜）,福島テレビ,福島県,,放送,,2022-07-14,2022-09-29
2022年7月9日,土曜 0:30（金曜深夜） 更新,,,,配信,Amazon Prime Video,2022-07-09,
2022年7月11日,月曜 12:00 更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,ひかりTV,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,バンダイチャンネル,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,Hulu,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,ビデオマーケット,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,music.jp,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,GYAO!ストア,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,ニコニコチャンネル,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,U-NEXT,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,アニメ放題,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,FOD,2022-07-11,
2022年7月11日,月曜 12:00 更新,,,,配信,GYAO!,2022-07-11,
2022年7月11日,月曜 12:00 - 12:30,,,,配信,ABEMA,2022-07-11,
2022年7月11日,月曜 22:30 - 23:00,,,,配信,ニコニコ生放送,2022-07-11,
2022年7月12日,火曜 0:00（月曜深夜） 更新,,,,配信,TELASA,2022-07-12,
2022年7月12日,火曜 0:00（月曜深夜） 更新,,,,配信,J:COMオンデマンド メガパック,2022-07-12,
2022年7月12日,火曜 0:00（月曜深夜） 更新,,,,配信,auスマートパスプレミアム,2022-07-12,
2022年7月12日,火曜 0:00（月曜深夜） 更新,,,,配信,milplus 見放題パックプライム,2022-07-12,
2022年7月15日,木曜 0:30（水曜深夜） 更新,,,,配信,WOWOWオンデマンド,2022-07-15,
