期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年1月10日 - 4月4日,日曜 0:30 - 1:00（土曜深夜）,TOKYO MX,東京都,,放送,,2021-01-10,2021-04-04
2021年1月10日 - 4月4日,日曜 0:30 - 1:00（土曜深夜）,とちぎテレビ,栃木県,,放送,,2021-01-10,2021-04-04
2021年1月10日 - 4月4日,日曜 0:30 - 1:00（土曜深夜）,群馬テレビ,群馬県,,放送,,2021-01-10,2021-04-04
2021年1月10日 - 4月4日,日曜 0:30 - 1:00（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2021-01-10,2021-04-04
2021年1月10日 - 4月4日,日曜 2:08 - 2:38（土曜深夜）,毎日放送,近畿広域圏,製作参加 / 『アニメシャワー』第1部,放送,,2021-01-10,2021-04-04
2021年1月12日 - 4月6日,火曜 21:30 - 22:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,,2021-01-12,2021-04-06
2021年2月21日 - 5月23日,日曜 1:28 - 1:58（土曜深夜）,長崎放送,長崎県,[注 3],放送,,2021-02-21,2021-05-23
2021年3月9日 - 6月8日,火曜 0:58 - 1:28（月曜深夜）,IBC岩手放送,岩手県,,放送,,2021-03-09,2021-06-08
2021年3月31日 - 6月22日,水曜 1:00 - 1:30（火曜深夜）,東北放送,宮城県,『寝られなアニメ』枠,放送,,2021-03-31,2021-06-22
2021年1月10日,日曜 0:30 - 1:00（土曜深夜）,,,,配信,ABEMA,2021-01-10,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,Amazonプライム・ビデオ,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,dアニメストア,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,FOD,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,Hulu,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,MBS動画イズム,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,Netflix,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,U-NEXT,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,アニメ放題,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,GYAO!,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,TVer,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,DMM.com,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,Google Play,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,GYAO!ストア,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,music.jp,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,Rakuten TV,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,ビデオマーケット,2021-01-15,
2021年1月15日,金曜 1:00（木曜深夜） 更新,,,,配信,バンダイチャンネル,2021-01-15,
