期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年7月6日 - 9月21日,水曜 21:30 - 22:00,AT-X,日本全域,CS放送 / 字幕放送[74] / リピート放送あり,放送,2022-07-06,2022-09-21
2022年7月6日 - 9月21日,水曜 23:00 - 23:30,TOKYO MX,東京都,,放送,2022-07-06,2022-09-21
2022年7月7日 - 9月22日,木曜 0:00 - 0:30（水曜深夜）,BS日テレ,日本全域,製作参加 / BS放送 / 『アニメにむちゅ〜』枠,放送,2022-07-07,2022-09-22
