期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2009年10月3日 - 2010年3月20日,土曜 1:30 - 2:00（金曜深夜）,TOKYO MX,東京都,,放送,,2009-10-03,2010-03-20
2009年10月4日 - 2010年3月21日,日曜 1:30 - 2:00（土曜深夜）,テレ玉,埼玉県,,放送,,2009-10-04,2010-03-21
2009年10月4日 - 2010年3月21日,日曜 1:35 - 2:05（土曜深夜）,チバテレビ,千葉県,,放送,,2009-10-04,2010-03-21
2009年10月4日 - 2010年3月21日,日曜 1:58 - 2:28（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第1部,放送,,2009-10-04,2010-03-21
2009年10月4日 - 2010年3月21日,日曜 2:30 - 3:00（土曜深夜）,テレビ神奈川,神奈川県,,放送,,2009-10-04,2010-03-21
2009年10月5日 - 2010年3月22日,月曜 23:00 - 23:30,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2009-10-05,2010-03-22
2009年10月8日 - 2010年3月25日,木曜 1:29 - 2:00（水曜深夜）,中部日本放送,中京広域圏,,放送,,2009-10-08,2010-03-25
2009年10月9日,金曜 12:00 更新,,,,配信,ムービーゲート,2009-10-09,
2009年10月9日,金曜 12:00 更新,,,,配信,バンダイチャンネル[注 8][注 9],2009-10-09,
2013年4月12日 - 9月27日,金曜 23:30 - 土曜 0:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2013-04-12,2013-09-27
2013年4月13日 - 9月28日,土曜 0:30 - 1:00（金曜深夜）,TOKYO MX,東京都,,放送,,2013-04-13,2013-09-28
2013年4月14日 - 9月29日,日曜 2:58 - 3:28（土曜深夜）,毎日放送,近畿広域圏,『アニメシャワー』第3部,放送,,2013-04-14,2013-09-29
2013年4月18日 - 10月3日,木曜 2:38 - 3:08（水曜深夜）,中部日本放送,中京広域圏,,放送,,2013-04-18,2013-10-03
2013年4月20日 - 10月5日,土曜 0:30 - 1:00（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2013-04-20,2013-10-05
2013年4月24日 - 10月9日,水曜 23:30 - 木曜 0:00,とちぎテレビ,栃木県,,放送,,2013-04-24,2013-10-09
2013年4月19日,金曜 22:30 - 23:00,,,,配信,ニコニコ生放送,2013-04-19,
2013年4月19日,金曜 23:00 更新,,,,配信,ニコニコチャンネル,2013-04-19,
2013年4月19日,未定,,,,配信,ShowTime,2013-04-19,
2013年4月19日,未定,,,,配信,dアニメストア,2013-04-19,
2013年5月3日,金曜 12:00 更新,,,,配信,バンダイチャンネル,2013-05-03,
2020年1月10日 - 9月25日,金曜 22:00 - 22:30,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,,2020-01-10,2020-09-25
2020年1月11日 - 9月26日,土曜 1:05 - 1:35（金曜深夜）,TOKYO MX,東京都,,放送,,2020-01-11,2020-09-26
2020年1月11日 - 9月26日,土曜 1:30 - 2:00（金曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2020-01-11,2020-09-26
2020年1月11日 - 9月26日,土曜 2:55 - 3:25（金曜深夜）,毎日放送,近畿広域圏,,放送,,2020-01-11,2020-09-26
