期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2020年7月15日 - 9月30日,水曜 22:00 - 22:30,TOKYO MX,東京都,,放送,2020-07-15,2020-09-30
2020年7月15日 - 9月30日,水曜 23:00 - 23:30,AT-X,日本全域,CS放送 / リピート放送あり,放送,2020-07-15,2020-09-30
2020年7月17日 - 10月2日,金曜 0:00 - 0:30（木曜深夜）,BSフジ,日本全域,BS/BS4K放送 / 『アニメギルド』枠,放送,2020-07-17,2020-10-02
