期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2020年10月11日 - 12月20日,日曜 1:30 - 2:00（土曜深夜）,テレビ朝日（製作参加）をはじめとするテレビ朝日系列全24局,日本国内[注 2],字幕放送 / 『NUMAnimation』枠放送前週に事前特番を放送,放送,,2020-10-11,2020-12-20
2020年10月11日 - 12月20日,日曜 22:00 - 22:30,テレ朝チャンネル1,日本全域,CS放送 / リピート放送あり[16],放送,,2020-10-11,2020-12-20
2020年10月11日,日曜 1:30 - 2:00（土曜深夜）,,,,配信,ABEMA[17],2020-10-11,
2020年10月12日,月曜 12:00 更新,,,,配信,dアニメストア,2020-10-12,
2020年10月13日,火曜 12:00 更新,,,,配信,ニコニコチャンネル,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,GYAO!,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,ひかりTV,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,バンダイチャンネル,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,TELASA,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,ビデオマーケット,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,DMM.com,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,music.jp,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,Hulu,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,FOD,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,Netflix,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,U-NEXT,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,アニメ放題,2020-10-13,
2020年10月13日,火曜 12:00 更新,,,,配信,Amazonプライム・ビデオ,2020-10-13,
2020年10月13日,火曜 23:30 - 水曜 0:00,,,,配信,ニコニコ生放送[18],2020-10-13,
