期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年4月15日 - 9月30日,金曜 0:00 - 0:30（木曜深夜）,TOKYO MX,東京都,製作参加 / 字幕放送,放送,2022-04-15,2022-09-30
2022年4月15日 - 9月30日,金曜 0:00 - 0:30（木曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-04-15,2022-09-30
2022年4月15日 - 9月30日,金曜 2:55 - 3:25（木曜深夜）,関西テレビ,近畿広域圏,,放送,2022-04-15,2022-09-30
2022年4月16日 - 10月1日,土曜 20:00 - 20:30,アニマックス,日本全域,BS/CS放送,放送,2022-04-16,2022-10-01
2022年4月19日 - 10月4日,火曜 1:00 - 1:30（月曜深夜）,J:テレ,日本国内[46][47],CATV / 『アニおび』枠,放送,2022-04-19,2022-10-04
2022年4月21日 - 10月6日,木曜 1:40 - 2:10（水曜深夜）,九州朝日放送,福岡県,[48],放送,2022-04-21,2022-10-06
2022年8月14日 -,日曜 1:28 - 1:58（土曜深夜）,長崎放送,長崎県,[49],放送,2022-08-14,
