期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2022年10月13日 - 12月29日,木曜 1:00 - 1:05（水曜深夜）,TOKYO MX,東京都,,放送,2022-10-13,2022-12-29
2022年10月16日 - 2023年1月1日,日曜 23:35 - 23:40,AT-X[10],日本全域,CS放送 / リピート放送あり,放送,2022-10-16,2023-01-01
